ET Cell ID	ET Cell Name	Ref ET MET ID	Met Latitude	Met Longitude	Met Elevation (feet)	Area weighted average Permeability - in/hr	Area weighted average WHC - in/ft	Average soil depth - in	Hydrologic Group (A-C) (A='coarse'  B='medium')	Hydrologic Group  (1-3) (1='coarse' 2='medium')	Aridity Rating (fromHuntington plus google)	Ref ET Data Path
548873	548873	548873	41.5667	-124.0583	286.75	-999	1.3425	60	A	1	50	
548890	548890	548890	41.5667	-123.35	5740.72	-999	0.84	60	A	1	50	
548921	548921	548921	41.5667	-122.0583	5382.81	-999	1.9183	60	A	1	50	
548998	548998	548998	41.5667	-118.85	5411.42	-999	1.2	60	B	2	50	
549020	549020	549020	41.5667	-117.9333	4172.31	-999	2.04	60	B	2	50	
549022	549022	549022	41.5667	-117.85	4180.58	-999	1.6275	60	A	1	50	
549023	549023	549023	41.5667	-117.8083	4245.28	-999	1.56	60	A	1	50	
549024	549024	549024	41.5667	-117.7667	4571.65	-999	1.4499	60	A	1	50	
549057	549057	549057	41.5667	-116.3917	5311.02	-999	1.8	60	B	2	50	
549064	549064	549064	41.5667	-116.1	6038.45	-999	1.56	60	C	3	50	
550273	550273	550273	41.6083	-123.475	1721.13	-999	1.2	60	B	2	50	
550307	550307	550307	41.6083	-122.0583	5136.61	-999	1.92	60	A	1	50	
550309	550309	550309	41.6083	-121.975	4760.76	-999	1.1163	60	B	2	50	
550377	550377	550377	41.6083	-119.1417	5823.1	-999	1.4295	60	B	2	50	
550384	550384	550384	41.6083	-118.85	5197.64	-999	1.2523	60	B	2	50	
550385	550385	550385	41.6083	-118.8083	5833.46	-999	1.2	60	B	2	50	
550407	550407	550407	41.6083	-117.8917	4169.69	-999	2.04	60	B	2	50	
550408	550408	550408	41.6083	-117.85	4184.12	-999	1.8294	60	B	2	50	
550409	550409	550409	41.6083	-117.8083	4274.15	-999	1.5531	60	A	1	50	
550410	550410	550410	41.6083	-117.7667	4581.89	-999	1.44	60	A	1	50	
550443	550443	550443	41.6083	-116.3917	5306.69	-999	1.8	60	B	2	50	
550445	550445	550445	41.6083	-116.3083	5345.41	-999	1.8	60	B	2	50	
550449	550449	550449	41.6083	-116.1417	6128.35	-999	1.56	60	C	3	50	
550450	550450	550450	41.6083	-116.1	6066.67	-999	1.56	60	C	3	50	
551694	551694	551694	41.65	-122.0167	4741.34	-999	1.8866	60	A	1	50	
551695	551695	551695	41.65	-121.975	4791.86	-999	1.6185	60	A	1	50	
551699	551699	551699	41.65	-121.8083	4720.08	-999	1.0962	60	B	2	50	
551712	551712	551712	41.65	-121.2667	4286.61	-999	1.68	60	B	2	50	
551764	551764	551764	41.65	-119.1	6106.69	-999	1.5278	60	B	2	50	
551769	551769	551769	41.65	-118.8917	4793.96	-999	1.44	60	B	2	50	
551787	551787	551787	41.65	-118.1417	4159.32	-999	2.04	60	B	2	50	
551793	551793	551793	41.65	-117.8917	4181.23	-999	2.0364	60	B	2	50	
551794	551794	551794	41.65	-117.85	4191.6	-999	1.882	60	B	2	50	
551795	551795	551795	41.65	-117.8083	4267.98	-999	1.5634	60	A	1	50	
551796	551796	551796	41.65	-117.7667	4524.93	-999	1.4944	60	A	1	50	
551830	551830	551830	41.65	-116.35	5302.36	-999	1.8	60	B	2	50	
551833	551833	551833	41.65	-116.225	5532.02	-999	1.68	60	B	2	50	
551834	551834	551834	41.65	-116.1833	6232.42	-999	1.68	60	B	2	50	
551836	551836	551836	41.65	-116.1	6383.46	-999	1.56	60	C	3	50	
553035	553035	553035	41.6917	-123.8917	1081.26	-999	1.44	60	B	2	50	
553046	553046	553046	41.6917	-123.4333	1881.13	-999	0.96	60	A	1	50	
553048	553048	553048	41.6917	-123.35	2504.81	-999	0.96	60	A	1	50	
553081	553081	553081	41.6917	-121.975	4610.89	-999	1.1291	60	B	2	50	
553082	553082	553082	41.6917	-121.9333	4547.51	-999	1.1235	60	B	2	50	
553085	553085	553085	41.6917	-121.8083	4588.45	-999	1.0806	60	B	2	50	
553098	553098	553098	41.6917	-121.2667	4169.55	-999	1.6007	60	B	2	50	
553119	553119	553119	41.6917	-120.3917	4771.39	-999	1.44	60	B	2	50	
553120	553120	553120	41.6917	-120.35	5105.51	-999	1.44	60	B	2	50	
553155	553155	553155	41.6917	-118.8917	4503.28	-999	1.44	60	B	2	50	
553156	553156	553156	41.6917	-118.85	4790.55	-999	1.44	60	B	2	50	
553170	553170	553170	41.6917	-118.2667	4853.15	-999	1.6037	60	A	1	50	
553171	553171	553171	41.6917	-118.225	4237.53	-999	1.2026	60	B	2	50	
553172	553172	553172	41.6917	-118.1833	4179.79	-999	1.2	60	B	2	50	
553173	553173	553173	41.6917	-118.1417	4194.75	-999	1.7998	60	B	2	50	
553180	553180	553180	41.6917	-117.85	4204.33	-999	1.6869	60	A	1	50	
