This file contains first (temporary) numbers of cutting cycles for dairy and beef hay, based on latitude. R.Allen 4/1/08
ET Cell ID	ET Cell Name	Lat	Number Dairy	Number Beef	null	null.1
555800	555800	41.775	5	3		
555801	555801	41.775	5	4		
555819	555819	41.775	5	3		
555850	555850	41.775	5	2		
555851	555851	41.775	5	1		
555852	555852	41.775	5	2		
555853	555853	41.775	5	2		
555854	555854	41.775	5	2		
555855	555855	41.775	5	2		
555856	555856	41.775	5	2		
555857	555857	41.775	5	2		
555858	555858	41.775	5	2		
555859	555859	41.775	5	4		
555880	555880	41.775	5	4		
555881	555881	41.775	5	4		
555890	555890	41.775	5	4		
555891	555891	41.775	5	2		
555892	555892	41.775	5	4		
555894	555894	41.775	5	4		
555921	555921	41.775	5	4		
555922	555922	41.775	5	4		
555930	555930	41.775	5	2		
555931	555931	41.775	5	2		
555942	555942	41.775	5	2		
555943	555943	41.775	5	2		
555944	555944	41.775	5	2		
555945	555945	41.775	5	4		
555953	555953	41.775	5	2		
555954	555954	41.775	5	2		
555955	555955	41.775	5	2		
555956	555956	41.775	5	4		
555983	555983	41.775	5	4		
555986	555986	41.775	5	2		
555987	555987	41.775	5	4		
555989	555989	41.775	5	4		
555990	555990	41.775	5	4		
557185	557185	41.8167	5	4		
557186	557186	41.8167	5	4		
557187	557187	41.8167	5	4		
557188	557188	41.8167	5	4		
557205	557205	41.8167	5	4		
557206	557206	41.8167	5	3		
557226	557226	41.8167	5	3		
557227	557227	41.8167	5	3		
557228	557228	41.8167	5	3		
557229	557229	41.8167	5	3		
557230	557230	41.8167	5	3		
557233	557233	41.8167	5	4		
557234	557234	41.8167	5	4		
557236	557236	41.8167	5	4		
557237	557237	41.8167	5	1		
557238	557238	41.8167	5	1		
557239	557239	41.8167	5	2		
557240	557240	41.8167	5	2		
557241	557241	41.8167	5	4		
557242	557242	41.8167	5	4		
557243	557243	41.8167	5	4		
557244	557244	41.8167	5	2		
557245	557245	41.8167	5	2		
557249	557249	41.8167	5	2		
557250	557250	41.8167	5	2		
557251	557251	41.8167	5	4		
557252	557252	41.8167	5	2		
557253	557253	41.8167	5	2		
557254	557254	41.8167	5	2		
557255	557255	41.8167	5	2		
557256	557256	41.8167	5	4		
557268	557268	41.8167	5	4		
557269	557269	41.8167	5	4		
557275	557275	41.8167	5	4		
557277	557277	41.8167	5	4		
557278	557278	41.8167	5	4		
557280	557280	41.8167	5	4		
557281	557281	41.8167	5	4		
557308	557308	41.8167	5	4		
557309	557309	41.8167	5	4		
557310	557310	41.8167	5	4		
557316	557316	41.8167	5	2		
557317	557317	41.8167	5	4		
557328	557328	41.8167	5	2		
557329	557329	41.8167	5	2		
557330	557330	41.8167	5	2		
557340	557340	41.8167	5	2		
557341	557341	41.8167	5	4		
557371	557371	41.8167	5	4		
557372	557372	41.8167	5	2		
557373	557373	41.8167	5	4		
557374	557374	41.8167	5	4		
558572	558572	41.8583	5	3		
558573	558573	41.8583	5	3		
558574	558574	41.8583	5	4		
558590	558590	41.8583	5	4		
558591	558591	41.8583	5	4		
558593	558593	41.8583	5	4		
558613	558613	41.8583	5	3		
558614	558614	41.8583	5	3		
558619	558619	41.8583	5	4		
558621	558621	41.8583	5	4		
558622	558622	41.8583	5	2		
558623	558623	41.8583	5	4		
558624	558624	41.8583	5	2		
558625	558625	41.8583	5	2		
558626	558626	41.8583	5	2		
558627	558627	41.8583	5	2		
558628	558628	41.8583	5	2		
558629	558629	41.8583	5	2		
558630	558630	41.8583	5	2		
558631	558631	41.8583	5	4		
558632	558632	41.8583	5	4		
558635	558635	41.8583	5	2		
558636	558636	41.8583	5	2		
558637	558637	41.8583	5	4		
558638	558638	41.8583	5	2		
558639	558639	41.8583	5	2		
558640	558640	41.8583	5	2		
558641	558641	41.8583	5	2		
558642	558642	41.8583	5	4		
558649	558649	41.8583	5	4		
558654	558654	41.8583	5	4		
558655	558655	41.8583	5	4		
558665	558665	41.8583	5	4		
558666	558666	41.8583	5	4		
558690	558690	41.8583	5	4		
558691	558691	41.8583	5	4		
558696	558696	41.8583	5	4		
558697	558697	41.8583	5	4		
558714	558714	41.8583	5	2		
558715	558715	41.8583	5	2		
558726	558726	41.8583	5	4		
558727	558727	41.8583	5	4		
559958	559958	41.9	5	3		
559959	559959	41.9	5	3		
559976	559976	41.9	5	4		
559997	559997	41.9	5	3		
559998	559998	41.9	5	4		
559999	559999	41.9	5	3		
560001	560001	41.9	5	3		
560002	560002	41.9	5	3		
560008	560008	41.9	5	2		
560009	560009	41.9	5	2		
560010	560010	41.9	5	4		
560011	560011	41.9	5	4		
560012	560012	41.9	5	2		
560013	560013	41.9	5	2		
560014	560014	41.9	5	4		
560015	560015	41.9	5	2		
560016	560016	41.9	5	2		
560017	560017	41.9	5	4		
560018	560018	41.9	5	4		
560019	560019	41.9	5	4		
560020	560020	41.9	5	2		
560021	560021	41.9	5	2		
560023	560023	41.9	5	2		
560024	560024	41.9	5	2		
560025	560025	41.9	5	2		
560026	560026	41.9	5	2		
560027	560027	41.9	5	2		
560028	560028	41.9	5	4		
560035	560035	41.9	5	4		
560050	560050	41.9	5	2		
560051	560051	41.9	5	2		
560057	560057	41.9	5	4		
560058	560058	41.9	5	4		
560061	560061	41.9	5	4		
560062	560062	41.9	5	4		
560071	560071	41.9	5	4		
560072	560072	41.9	5	4		
560077	560077	41.9	5	4		
560080	560080	41.9	5	4		
560081	560081	41.9	5	4		
560087	560087	41.9	5	4		
560088	560088	41.9	5	2		
560089	560089	41.9	5	4		
560099	560099	41.9	5	4		
560100	560100	41.9	5	4		
560112	560112	41.9	5	4		
560113	560113	41.9	5	4		
561343	561343	41.9417	5	4		
561344	561344	41.9417	5	3		
561345	561345	41.9417	5	3		
561380	561380	41.9417	5	2		
561382	561382	41.9417	5	3		
