Met Node ID	Met Node Name	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
525446		0.9776656627655029	1.0724843740463257	1.0116223096847534	0.9617632031440735	0.9494487047195435	1.0007308721542358	0.9844630360603333	0.9608718156814575	0.9803820252418518	1.0097160339355469	1.017931342124939	1.0607236623764038
526832		0.9783822298049927	1.074113368988037	1.0125796794891357	0.9620105624198914	0.9500169157981873	1.0015019178390503	0.985700249671936	0.9621525406837463	0.9817267060279846	1.0114091634750366	1.020395278930664	1.0631681680679321
528223		0.9892962574958801	1.085404634475708	1.0156193971633911	0.9694040417671204	0.953693151473999	1.004756212234497	0.9882570505142212	0.9654836058616638	0.9870665669441223	1.0148100852966309	1.029089093208313	1.0779424905776978
528224		0.9908742308616638	1.0872786045074463	1.0160303115844727	0.9706018567085266	0.9542197585105896	1.005266785621643	0.9887798428535461	0.966192901134491	0.9879553914070129	1.0152831077575684	1.0305976867675781	1.0804805755615234
528225		0.9917770028114319	1.0883383750915527	1.015878677368164	0.9717494249343872	0.9544227719306946	1.0053569078445435	0.9888752698898315	0.9665730595588684	0.9882174134254456	1.0146781206130981	1.0312080383300781	1.0820773839950562
529609		0.9909319877624512	1.0877805948257446	1.0168447494506836	0.9700560569763184	0.9545238614082336	1.0058139562606812	0.9896354079246521	0.9668886661529541	0.9888192415237427	1.0169960260391235	1.0320689678192139	1.081343650817871
529610		0.9937360286712646	1.091018557548523	1.0181165933609009	0.9715542197227478	0.9556078910827637	1.0069904327392578	0.9908252954483032	0.9681593775749207	0.9907205700874329	1.019018292427063	1.0350538492202759	1.0855886936187744
529611		0.9963445067405701	1.0935348272323608	1.0190306901931763	0.9732130765914917	0.9565834999084473	1.0079318284988403	0.9917438626289368	0.969272255897522	0.9922927618026733	1.0202221870422363	1.0372920036315918	1.089181661605835
533641		0.8066194653511047	0.7873573303222656	0.821816623210907	0.8514291644096375	0.855297863483429	0.8944511413574219	0.8911644220352173	0.8292098045349121	0.8224205374717712	0.8039263486862183	0.7762272357940674	0.7599048018455505
533762		0.9783402681350708	1.0777045488357544	1.0151078701019287	0.9639669060707092	0.9519804120063782	1.0030759572982788	0.9896593689918518	0.9667773246765137	0.9850555658340454	1.0135215520858765	1.0256708860397339	1.0678751468658447
