date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,pair_kpa,prcp_mm,etr_mm,eto_mm
1979-01-01,1979,1,1,40.9416666667,-118.2249999667,1272.8800048828,1.4959020615,-18.3499908447,-5.2500000000,125.4000015259,0.1344009184,87.1314007988,0.0000000000,0.8000000119,0.5000000000
1979-01-02,1979,1,2,40.9416666667,-118.2249999667,1272.8800048828,0.5235657096,-16.3500061035,-1.0499877930,80.8000030518,0.1637802262,87.1314007988,0.0000000000,0.6000000238,0.4000000060
1979-01-03,1979,1,3,40.9416666667,-118.2249999667,1272.8800048828,0.5983608365,-13.1499938965,0.2500000000,78.3000030518,0.2281087339,87.1314007988,1.8000000715,0.6000000238,0.4000000060
1979-01-04,1979,1,4,40.9416666667,-118.2249999667,1272.8800048828,0.5235657096,-9.6499938965,3.3500061035,85.0999984741,0.2965930520,87.1314007988,0.0000000000,0.6000000238,0.5000000000
1979-01-05,1979,1,5,40.9416666667,-118.2249999667,1272.8800048828,2.0194678307,-11.3500061035,2.9500122070,92.9000015259,0.3175495307,87.1314007988,0.0000000000,1.1000000238,0.6999999881
1979-01-06,1979,1,6,40.9416666667,-118.2249999667,1272.8800048828,0.5983608365,-13.8500061035,-0.7500000000,93.7000045776,0.2281087339,87.1314007988,0.0000000000,0.5000000000,0.4000000060
1979-01-07,1979,1,7,40.9416666667,-118.2249999667,1272.8800048828,0.7479510307,-15.4499816895,-0.5499877930,83.0000000000,0.2281087339,87.1314007988,0.0000000000,0.6000000238,0.4000000060
1979-01-08,1979,1,8,40.9416666667,-118.2249999667,1272.8800048828,0.9723364115,-9.9499816895,2.9500122070,68.7000045776,0.3538649896,87.1314007988,0.3000000119,0.6999999881,0.5000000000
1979-01-09,1979,1,9,40.9416666667,-118.2249999667,1272.8800048828,0.9723364115,-7.6499938965,3.3500061035,94.8000030518,0.4180873847,87.1314007988,3.7000000477,0.6000000238,0.5000000000
1979-01-10,1979,1,10,40.9416666667,-118.2249999667,1272.8800048828,1.1219265461,-8.1499938965,2.8500061035,47.6000022888,0.4180873847,87.1314007988,5.3000001907,0.6999999881,0.5000000000
1979-01-11,1979,1,11,40.9416666667,-118.2249999667,1272.8800048828,1.7950824499,-4.9499816895,4.4500122070,66.9000015259,0.4934331607,87.1314007988,4.4000000954,0.9000000358,0.6000000238
1979-01-12,1979,1,12,40.9416666667,-118.2249999667,1272.8800048828,2.4682383537,-4.6499938965,5.0500183105,44.0000000000,0.4446035743,87.1314007988,0.0000000000,1.3999999762,0.9000000358
1979-01-13,1979,1,13,40.9416666667,-118.2249999667,1272.8800048828,1.1967216730,-7.4499816895,4.6499938965,99.0000000000,0.3510719096,87.1314007988,0.0000000000,1.0000000000,0.6999999881
1979-01-14,1979,1,14,40.9416666667,-118.2249999667,1272.8800048828,1.3463118076,-6.3500061035,4.5500183105,63.4000015259,0.4446035743,87.1314007988,1.0000000000,0.9000000358,0.6000000238
1979-01-15,1979,1,15,40.9416666667,-118.2249999667,1272.8800048828,1.2715167999,-5.2500000000,5.4500122070,66.9000015259,0.4655330830,87.1314007988,0.3000000119,0.9000000358,0.6999999881
1979-01-16,1979,1,16,40.9416666667,-118.2249999667,1272.8800048828,1.4959020615,-6.5499877930,5.7500000000,100.5999984741,0.3901689918,87.1314007988,0.0000000000,1.2000000477,0.8000000119
1979-01-17,1979,1,17,40.9416666667,-118.2249999667,1272.8800048828,1.1219265461,-8.9499816895,3.7500000000,101.5000000000,0.3259310409,87.1314007988,0.0000000000,1.0000000000,0.6999999881
1979-01-18,1979,1,18,40.9416666667,-118.2249999667,1272.8800048828,0.8975412250,-6.4499816895,4.4500122070,65.5000000000,0.3259310409,87.1314007988,0.0000000000,1.0000000000,0.6999999881
1979-01-19,1979,1,19,40.9416666667,-118.2249999667,1272.8800048828,1.3463118076,-8.7500000000,3.5500183105,65.4000015259,0.2798251476,87.1314007988,0.0000000000,1.3000000715,0.9000000358
1979-01-20,1979,1,20,40.9416666667,-118.2249999667,1272.8800048828,0.9723364115,-6.2500000000,6.1499938965,102.8000030518,0.3217403621,87.1314007988,0.0000000000,1.2000000477,0.8000000119
1979-01-21,1979,1,21,40.9416666667,-118.2249999667,1272.8800048828,1.0471314192,-6.9499816895,5.6499938965,96.0999984741,0.3482787293,87.1314007988,0.0000000000,1.1000000238,0.8000000119
1979-01-22,1979,1,22,40.9416666667,-118.2249999667,1272.8800048828,1.3463118076,-8.9499816895,2.4500122070,109.0999984741,0.2015426292,87.1314007988,0.0000000000,1.3999999762,0.9000000358
1979-01-23,1979,1,23,40.9416666667,-118.2249999667,1272.8800048828,1.0471314192,-10.5499877930,2.5500183105,107.7000045776,0.1721729378,87.1314007988,0.0000000000,1.3000000715,0.9000000358
1979-01-24,1979,1,24,40.9416666667,-118.2249999667,1272.8800048828,0.3739755154,-9.3500061035,3.1499938965,85.2000045776,0.3329151556,87.1314007988,2.7999999523,0.6000000238,0.5000000000
1979-01-25,1979,1,25,40.9416666667,-118.2249999667,1272.8800048828,2.1690580845,-9.4499816895,1.1499938965,67.4000015259,0.3454855136,87.1314007988,0.8000000119,1.0000000000,0.6999999881
1979-01-26,1979,1,26,40.9416666667,-118.2249999667,1272.8800048828,1.6454923153,-15.0499877930,-1.9499816895,118.0999984741,0.2323028226,87.1314007988,0.0000000000,0.9000000358,0.6000000238
1979-01-27,1979,1,27,40.9416666667,-118.2249999667,1272.8800048828,1.2715167999,-13.1499938965,-0.8500061035,53.2000007629,0.2630548165,87.1314007988,0.0000000000,0.8000000119,0.6000000238
1979-01-28,1979,1,28,40.9416666667,-118.2249999667,1272.8800048828,1.4211069345,-13.1499938965,-1.9499816895,109.5000000000,0.2476798463,87.1314007988,0.0000000000,0.8000000119,0.6000000238
1979-01-29,1979,1,29,40.9416666667,-118.2249999667,1272.8800048828,1.1219265461,-15.4499816895,-3.0499877930,119.5999984741,0.2001442322,87.1314007988,0.0000000000,0.8000000119,0.6000000238
1979-01-30,1979,1,30,40.9416666667,-118.2249999667,1272.8800048828,1.9446728230,-17.8499908447,-2.8500061035,91.2000045776,0.1931520415,87.1314007988,0.0000000000,0.9000000358,0.6000000238
1979-01-31,1979,1,31,40.9416666667,-118.2249999667,1272.8800048828,0.8975412250,-12.8500061035,0.4500122070,99.9000015259,0.2462820096,87.1314007988,0.0000000000,0.9000000358,0.6000000238
1979-02-01,1979,2,1,40.9416666667,-118.2249999667,1272.8800048828,0.8975412250,-10.2500000000,1.3500061035,84.2000045776,0.3343119407,87.1314007988,0.3000000119,0.8000000119,0.6000000238
1979-02-02,1979,2,2,40.9416666667,-118.2249999667,1272.8800048828,1.1967216730,-10.6499938965,-0.8500061035,125.7000045776,0.2882094051,87.1314007988,0.0000000000,0.8000000119,0.6999999881
1979-02-03,1979,2,3,40.9416666667,-118.2249999667,1272.8800048828,1.3463118076,-14.1499938965,-1.4499816895,95.9000015259,0.2406905417,87.1314007988,0.0000000000,0.9000000358,0.6000000238
1979-02-04,1979,2,4,40.9416666667,-118.2249999667,1272.8800048828,0.8975412250,-9.9499816895,1.5500183105,66.0000000000,0.3468821462,87.1314007988,0.0000000000,0.8000000119,0.6000000238
1979-02-05,1979,2,5,40.9416666667,-118.2249999667,1272.8800048828,1.2715167999,-10.5499877930,2.7500000000,113.5999984741,0.3720184387,87.1314007988,0.0000000000,0.9000000358,0.6999999881
1979-02-06,1979,2,6,40.9416666667,-118.2249999667,1272.8800048828,2.2438530922,-5.6499938965,5.8500061035,111.8000030518,0.4543711306,87.1314007988,0.0000000000,1.5000000000,1.0000000000
1979-02-07,1979,2,7,40.9416666667,-118.2249999667,1272.8800048828,2.2438530922,-2.8500061035,8.2500000000,114.9000015259,0.4697185277,87.1314007988,0.0000000000,2.0000000000,1.3999999762
1979-02-08,1979,2,8,40.9416666667,-118.2249999667,1272.8800048828,1.1219265461,-2.1499938965,9.6499938965,121.7000045776,0.4948279984,87.1314007988,0.0000000000,1.6000000238,1.2000000477
1979-02-09,1979,2,9,40.9416666667,-118.2249999667,1272.8800048828,1.5706971884,-0.7500000000,10.9500122070,121.8000030518,0.4906434673,87.1314007988,0.0000000000,2.1000001431,1.5000000000
