LAT,LON,GRIDMET_ID,ELEV_M,ELEV_FT,FIPS_C,STPO,COUNTYNAME,CNTYCATEGO,STATENAME,HUC8,STATION_ID,GRID_FILE_PATH
40.8583333333,-118.4333333,525446,1311.88,4304.07,32013.0,NV,Humboldt,County,Nevada,16040201,525446,E:\or_statewide\climate_data\gridmet_historical_525446.csv
40.9,-118.4333333,526832,1395.8,4579.4,32013.0,NV,Humboldt,County,Nevada,16040201,526832,E:\or_statewide\climate_data\gridmet_historical_526832.csv
40.9416666667,-118.224999967,528223,1272.88,4176.12,32013.0,NV,Humboldt,County,Nevada,16040201,528223,E:\or_statewide\climate_data\gridmet_historical_528223.csv
40.9416666667,-118.1833333,528224,1278.48,4194.49,32013.0,NV,Humboldt,County,Nevada,16040201,528224,E:\or_statewide\climate_data\gridmet_historical_528224.csv
40.9416666667,-118.141666633,528225,1291.76,4238.06,32013.0,NV,Humboldt,County,Nevada,16040201,528225,E:\or_statewide\climate_data\gridmet_historical_528225.csv
40.9833333333,-118.224999967,529609,1269.28,4164.3,32013.0,NV,Humboldt,County,Nevada,16040201,529609,E:\or_statewide\climate_data\gridmet_historical_529609.csv
40.9833333333,-118.1833333,529610,1273.64,4178.61,32013.0,NV,Humboldt,County,Nevada,16040201,529610,E:\or_statewide\climate_data\gridmet_historical_529610.csv
40.9833333333,-118.141666633,529611,1287.56,4224.28,32013.0,NV,Humboldt,County,Nevada,16040201,529611,E:\or_statewide\climate_data\gridmet_historical_529611.csv
41.1083333333,-123.474999967,533641,1644.17,5394.26,6023.0,CA,Humboldt,County,California,18010209,533641,E:\or_statewide\climate_data\gridmet_historical_533641.csv
41.1083333333,-118.4333333,533762,1301.08,4268.64,32013.0,NV,Humboldt,County,Nevada,16040201,533762,E:\or_statewide\climate_data\gridmet_historical_533762.csv
41.15,-118.4333333,535148,1292.72,4241.21,32013.0,NV,Humboldt,County,Nevada,16040201,535148,E:\or_statewide\climate_data\gridmet_historical_535148.csv
41.15,-118.391666633,535149,1273.88,4179.4,32013.0,NV,Humboldt,County,Nevada,16040201,535149,E:\or_statewide\climate_data\gridmet_historical_535149.csv
