#  3 - Alfalfa Hay
Date,Year,Month,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season,Cutting
1979-01,1979,1,13.954551237238302,10.243850654554208,10.642583651055837,1.3954551237238295,0.6949811480085587,0.10000000000000005,47.7000003457,0.0,5.850000023850001,0.0,41.85000032185,38.911424127074156,0.8773584909548673,0.8157531204416836,-31.60614966729578,0, 0
1979-02,1979,2,29.066605982670307,22.044088640139087,22.054582176016645,2.9066605982670315,0.7667391886773192,0.10000000000000005,28.4000003338,0.0,0.0,0.0,28.4000003338,15.075352324931545,1.0,0.5308222587233477,-6.355911693660913,0, 0
1979-03,1979,3,61.276299721858315,34.68330872776226,34.68330872776226,6.127629972185831,0.6600381712785248,0.10000000000000005,29.000000596,0.0,0.0,0.0,29.000000596,15.552428663293075,1.0,0.536290632540133,5.68330813176225,0, 0
1979-04,1979,4,83.87912666195714,51.083025838534894,52.37889922154521,25.48375202945182,0.5673043724045164,0.2740936760326826,29.700000554200003,111.8368548180557,0.0,0.0,29.700000554200003,11.800157606446067,1.0,0.3973116965069335,21.38302528433489,15, 0
1979-05,1979,5,137.83684589771852,149.62673249584796,149.6331572040203,139.16036356444218,1.0807016600976471,0.9870607536480881,26.200000107300003,163.7525717751983,0.0,0.0,26.200000107300003,21.953393713526427,1.0,0.8379157871609947,123.42673238854793,31, 0
1979-06,1979,6,162.21950707980673,204.81233032406647,204.81233032406647,203.12445033356835,1.2623375570868247,1.2516845853046996,5.4000002742,229.44588337995754,0.0,22.94329312124021,5.4000002742,5.30666318062251,1.0,0.9827153539188815,199.41233004986645,30, 0
1979-07,1979,7,187.50396183317997,152.76884368929066,152.76884368929066,151.4692342071408,0.8256451765717611,0.8190569020600108,0.0,113.41372982643446,0.0,11.341372982643447,0.0,0.0,0.0,0.0,152.76884368929066,31, 1
1979-08,1979,8,134.1897573340522,165.48635725295668,165.48635725295668,163.37468145854578,1.2265582417591503,1.2078160427940685,31.5000004174,108.80003952685607,0.0,10.880003952685607,31.5000004174,30.522609189692467,1.0,0.9689717074680533,133.98635683555665,31, 0
1979-09,1979,9,111.3660649480568,85.50837766869401,85.50837766869401,81.70707678383164,0.7804462131679544,0.7393299651591682,4.8999999165,108.9375949950684,0.0,10.89375949950684,4.8999999165,3.403751595232319,1.0,0.6946431945377605,80.60837775219403,30, 1
1979-10,1979,10,61.00074726372253,57.55425359167041,57.55425359167041,47.81209418791015,0.9527107424697644,0.6510442758440943,39.2000008823,0.0,0.0,0.0,39.2000008823,32.86674595058118,1.0,0.8384373778272419,18.35425270937041,20, 0
1979-11,1979,11,23.528864634627674,19.893529790397924,19.972919659074915,2.3528864634627666,0.9334622340953377,0.10000000000000005,38.500000804600006,0.0,0.0,0.0,38.500000804600006,29.926528579032333,1.0,0.7773124143793964,-18.60647101420208,0, 0
1979-12,1979,12,24.018569067205224,14.649763686152646,14.729097586177277,2.4018569067205218,0.7300847675068501,0.10000000000000005,13.600000440999999,0.0,0.0,0.0,13.600000440999999,8.087871851830325,1.0,0.5946964404094996,1.0497632451526435,0, 0
1980-01,1980,1,18.6366704636631,15.318295998689502,15.372715722767715,1.8636670463663108,0.8191019678891495,0.10000000000000005,52.50000143049999,0.0,3.254292060443031,0.0,49.245709370056964,44.01275266295512,0.9380134862519749,0.8383381231183322,-33.92741337136748,0, 0
1980-02,1980,2,33.479357611675184,25.56089268836987,25.645388947929412,3.347935761167519,0.7986499767911597,0.10000000000000005,24.7000005246,0.0,0.0,0.0,24.7000005246,12.311131875386062,1.0,0.4984263811300236,0.8608921637698614,0, 0
1980-03,1980,3,58.403973171435766,19.385494413338396,23.787602114561682,5.840397317143576,0.3587328856852081,0.10000000000000005,16.600000172900003,0.0,0.0,0.0,16.600000172900003,5.190799017796694,1.0,0.31269873275488447,2.7854942404383927,0, 0
1980-04,1980,4,98.32767103202312,62.206987932644935,64.46038111753363,52.07295295864963,0.5709396406057489,0.46125303905704995,21.1000006198,67.58330848288303,0.0,0.0,21.1000006198,13.742752617930977,1.0,0.6513152708173352,41.10698731284492,20, 0
1980-05,1980,5,116.1914954920003,130.33457569538857,130.33457569538857,127.40879767366657,1.1255547230295015,1.1003509438884216,28.8000000418,0.0,0.00800903306123696,0.0,28.791991008738762,27.574703429083524,0.9997219085746661,0.9574549787868717,101.5425846866498,31, 0
1980-06,1980,6,125.48326611298144,156.20340688651942,156.20340688651942,153.41391705385615,1.2450315352670949,1.2192112361261744,43.100000858499996,219.05089867062281,0.0,21.904892140795056,43.100000858499996,41.11160765849155,1.0,0.9538655879257064,113.10340602801938,30, 0
1980-07,1980,7,177.7709329397599,139.87711344023484,139.87711344023484,137.5923371986218,0.7945831690090003,0.780798178421381,9.0000000596,114.19548870495709,0.0,11.41954887049571,9.0000000596,8.489795492037137,1.0,0.9433106039795361,130.87711338063485,31, 1
1980-08,1980,8,149.9547086832729,185.0416881526517,185.0416881526517,184.29458387884293,1.23148153932225,1.2262392200934122,0.0,109.19845051830232,0.0,10.919845051830233,0.0,0.0,0.0,0.0,185.0416881526517,31, 0
1980-09,1980,9,104.50854812430174,79.32591689269246,80.74998850123168,71.84501092625452,0.7336143407066901,0.6370168006772984,18.600000143000003,111.39499719554807,0.0,11.139499719554808,18.600000143000003,14.854135500518655,1.0,0.7986094293719088,60.725916749692466,20, 1
1980-10,1980,10,66.41501506123404,15.02542379361173,19.170890021319252,6.641501506123407,0.3544465590653426,0.10000000000000005,15.9000000357,0.0,0.0,0.0,15.9000000357,12.168661196507815,1.0,0.7653246018355803,-0.8745762420882732,0, 0
1980-11,1980,11,25.634560674268005,15.345716514631077,15.953111519705432,2.5634560674268,0.7370091912486302,0.10000000000000005,21.4000001848,0.0,0.033123283759811654,0.0,21.36687690104019,16.81811978834795,0.9984521830152442,0.7858934412670487,-6.021160386409108,0, 0
1980-12,1980,12,18.037291270195304,19.754192002842302,19.754192002842302,1.8037291270195304,1.094682796125542,0.10000000000000005,45.300001561600006,0.0,0.16296393431525627,0.0,45.13703762728475,36.895014878417165,0.9964025622804085,0.8144594615134054,-25.382845624442442,0, 0
1981-01,1981,1,16.616932729778384,9.544622867913155,9.544628692288688,1.6616932729778386,0.671483276436143,0.10000000000000005,25.6000006498,0.0,0.0,7.084099489379099,18.5159011604209,14.63182287750012,0.7232773707201275,0.5715555666446607,-8.971278292507746,0, 0
1981-02,1981,2,30.793334903386505,24.74918901457134,24.74918901457134,3.0793334903386507,0.8567081421160327,0.10000000000000005,26.6000006796,0.0,0.0,7.524257471698803,19.075743207901198,8.86589142749953,0.7171331849826122,0.3333041804881958,5.6734458066701405,0, 0
1981-03,1981,3,55.14866983480823,21.674609875049352,25.421026970786322,5.514866983480822,0.4213427878938548,0.10000000000000005,18.400000512600002,0.0,0.0,0.0,18.400000512600002,5.52766147708353,1.0,0.3004163762548965,3.274609362449354,0, 0
1981-04,1981,4,95.70947701060973,42.04292079789495,46.876338385025164,35.80837408827185,0.39905506945688785,0.32984260227954537,16.8000002802,0.0,0.0,0.0,16.8000002802,10.541550622929435,1.0,0.6274732408994901,25.242920517694948,15, 0
1981-05,1981,5,111.22524567908465,115.98197068947967,115.98197068947967,113.16106917913211,1.0267768480680022,1.001158821634565,32.6000007987,106.58598558178507,0.0,10.65859855817852,32.6000007987,31.211337643738595,1.0,0.9574029717503325,83.38196989077971,31, 0
