#  4 - Grass Hay
Date,Year,Month,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season
1979-01,1979,1,12.800882427189313,8.29473043224652,8.756893536820423,1.280088242718931,0.6674755753978159,0.10000000000000005,70.200000614,0.0,21.09538382068293,0.0,49.10461679331707,44.85957363779114,0.6994959595986688,0.6390252599064049,-40.809886361070554,0
1979-02,1979,2,19.721522555373028,18.735446427604373,18.735446427604373,1.9721522555373028,0.9499999999999995,0.10000000000000005,176.00000053639997,0.0,1.5481551989351905,0.0,174.45184533746476,158.6824223386603,0.9912036636692224,0.9016046696309068,-155.71639890986043,0
1979-03,1979,3,56.447969270599366,51.15973841126904,51.15973841126904,28.118640586924503,0.9172309829455297,0.4686846473906565,57.7000006438,0.0,0.25211770596844263,0.0,57.44788293783156,48.827873672614835,0.9956305424063191,0.8462369692860914,-6.288144526562526,28
1979-04,1979,4,67.89579065707754,68.16604158088414,68.16604158088414,60.670425608250184,0.9966542276735942,0.870350678145726,66.3000012636,0.0,0.0,0.0,66.3000012636,61.48001424758008,1.0,0.9273003480519361,1.8660403172841509,30
1979-05,1979,5,115.25625040252703,129.6669107038659,129.6669107038659,127.50204449517986,1.117215912149746,1.095102953098703,50.8000014425,0.0,1.8604001832256292,0.0,48.939601259274376,48.240666324102556,0.9633779501890095,0.9496193888637124,80.72730944459153,31
1979-06,1979,6,134.20709062919747,158.09927566941948,158.09927566941948,154.76804890480201,1.1750226382865419,1.1508917807227899,16.2000004053,209.12457719807577,0.0,20.91239532449155,16.2000004053,15.800169354524641,1.0,0.9753190715572729,141.89927526411947,30
1979-07,1979,7,149.92297635974316,138.50481155126363,138.50481155126363,124.90905137154502,0.9454568871122644,0.8619976329752594,7.3999999761,102.94238875272464,0.0,10.294238875272464,7.3999999761,7.094310276610177,1.0,0.9586905810166056,131.10481157516364,31
1979-08,1979,8,110.89969168817636,102.42898316312896,102.42898316312896,96.39602295605431,0.9270721129221053,0.8667941751708939,31.500000029699997,99.94093173726904,0.0,9.994093173726904,31.500000029699997,27.988072776584538,1.0,0.8885102460379615,70.92898313342891,31
1979-09,1979,9,84.24688214797733,80.63261059876122,80.63261059876122,76.35903048219487,0.9450873741812952,0.8949246732622905,61.4000005721,0.0,0.0967025230897056,5.126969694919006,61.303298049010294,59.61313308434016,0.9984250403552334,0.9708979239232811,24.45628224466993,30
1979-10,1979,10,39.30536257449929,34.95900113741135,34.95900113741135,32.94395552855499,0.9053356958408271,0.8108812831543614,137.0000051854,0.0,0.489100118146927,27.391591831463042,109.11931323579003,107.49716914469532,0.7964913073406132,0.784650839970561,-74.16031209837868,31
1979-11,1979,11,17.712835063298773,16.83395355473191,16.83395355473191,13.825896736231151,0.9501620372460472,0.7595570021831216,94.500001669,0.0,4.2259822392908015,87.31353967590906,46.806437659825065,45.4224002365538,0.4953062098746984,0.4806603114744099,13.87347380093177,30
1979-12,1979,12,15.137226483967137,14.380365159768788,14.380365159768788,11.429672690464821,0.9499999999999995,0.7507133820217381,168.70000395210002,0.0,4.785608844033538,135.6605561473659,47.359060711150825,44.952855684571276,0.28072945821979806,0.2664662396649084,-13.873473800931766,31
1980-01,1980,1,15.473594149388626,12.930012532286245,12.930012532286245,4.334332819881425,0.7830677469969655,0.23834767057289444,225.30000361799998,0.0,26.389554526139804,204.89727474687854,32.2341471130831,29.20252666797166,0.14307211094295696,0.12961618375064496,18.91683818730459,22
1980-02,1980,2,22.52774699344942,21.401359643776942,21.401359643776942,10.870242377646496,0.9499999999999995,0.4673411573486835,114.80000031000002,0.0,2.920534327896333,72.14611848473633,57.80796567734816,50.135385888533044,0.503553706631067,0.43671938809364136,-18.331987853590398,29
1980-03,1980,3,40.46571300881795,38.58219025433843,38.58219025433843,33.64576709385866,0.9525823257989904,0.8172106785736969,90.00000119219999,0.0,0.1632275003341951,55.234719992864484,52.66378000373367,48.92455895112769,0.5851531034012682,0.5436062033671154,3.980136555337109,31
1980-04,1980,4,80.5635954594395,86.61307979343918,86.61307979343918,82.93953709336826,1.066925365801022,1.0202293957188266,84.9000007809,0.0,1.5676840643704932,37.63997809346864,60.44375768131112,58.588062719467004,0.7119406021832356,0.6900831823389993,40.920741170378314,30
1980-05,1980,5,97.51059104327237,112.39162204000249,112.39162204000249,110.00307217580732,1.1507708649094937,1.124937134357622,41.09999972589999,0.0,0.0,0.0,41.09999972589999,39.90821953317941,1.0,0.9710029148255795,71.2916223141025,31
1980-06,1980,6,97.40684209538432,110.76205383031893,110.76205383031893,106.98956134528602,1.1358763897938822,1.0953433770735095,62.3000016214,100.91016676976396,0.43394878429582096,10.091016676976396,61.86605283710418,59.64694462931901,0.9930345301283786,0.9574148166447292,48.89600099321477,30
1980-07,1980,7,140.45717628736284,121.26400541857369,121.26400541857369,109.54458012911667,0.8588659263348847,0.783202698406411,5.1999999881,99.04950854790647,0.0,9.904950854790648,5.1999999881,5.055431857348885,1.0,0.9721984363303935,116.0640054304737,31
1980-08,1980,8,117.36428874375807,109.42479586613894,109.42479586613894,105.80663085248815,0.9309558936635318,0.8992018933199408,6.3999999165,100.66137232331093,0.0,10.066137232331094,6.3999999165,6.238615744244016,1.0,0.9747837227560089,103.02479594963891,31
1980-09,1980,9,75.88317976859172,73.9825579373194,73.9825579373194,68.53947103825821,0.9671695802304158,0.8903728044337405,39.10000106689999,99.02366197629755,0.0,9.902366197629755,39.10000106689999,37.60131858594979,1.0,0.9616705258297574,34.88255687041941,30
1980-10,1980,10,45.370518119360426,45.41974130767778,45.41974130767778,38.81936569891909,0.9802919917497067,0.8313194216544955,36.4999998807,0.0,0.0,0.0,36.4999998807,35.39050023149025,1.0,0.9696027492373659,8.919741426977803,31
1980-11,1980,11,15.370641964356919,14.602109866139067,14.602109866139067,11.708600936836635,0.9499999999999995,0.7539468649677369,169.90000301609996,0.0,12.554561170376866,113.82359055260625,62.61791116182076,60.578295753780694,0.36855744585176375,0.3565526467238509,-28.9197414269778,30
