# 44 - Bare soil
Date,Year,Month,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season
1979-01,1979,1,12.800882427189313,9.871188441264671,10.348887182136284,1.2251813902833792,0.7954348109027812,0.09143078386967327,70.200000614,0.0,14.757013705861308,33.647573535822,21.79541337231669,16.486226564206103,0.3104759712490662,0.23484653019957738,-11.924224931052025,31
1979-02,1979,2,19.721522555373028,21.69367481091033,21.69367481091033,1.7719200057925646,1.1000000000000005,0.08820035789212301,176.00000053639997,0.0,26.843358398853017,124.98719225768869,24.169449879858313,5.556440065921179,0.1373264193533888,0.031570682096515146,-2.4757750689479803,28
1979-03,1979,3,56.447969270599366,42.982089637841085,47.64298317576878,5.997546242585846,0.8540032780019847,0.10042151843443614,57.7000006438,0.0,6.242579562327211,18.914194762695075,32.54322631877772,16.25984015361083,0.5640073822473096,0.2817996528975427,10.438863319063357,31
1979-04,1979,4,67.89579065707754,60.86255855897557,63.740951351616616,6.691242490394275,0.9146879734173938,0.09605087009454108,66.3000012636,0.0,1.0644981766152464,8.334081208945825,56.90142187803893,27.79520233476836,0.8582416409285791,0.4192338130471269,3.9611366809366477,30
1979-05,1979,5,115.25625040252703,27.64106984891342,45.85391690783442,12.38251614699154,0.3056853384935553,0.10620502489253338,50.8000014425,0.0,4.6144338209836,18.544497772602984,27.641069848913418,16.98457783942418,0.5441155327564323,0.33434207395936494,3.552713678800501e-15,31
1979-06,1979,6,134.20709062919747,12.238983053017371,29.946237515689557,14.998084520694142,0.12286000244336565,0.11045550072579959,16.2000004053,0.0,0.0,0.0,16.2000004053,12.26478472983263,1.0,0.7570854582090059,-3.9610173522826266,30
1979-07,1979,7,149.92297635974316,11.361017328382628,28.859828323057364,16.593931330385384,0.09351074051217331,0.10913320712308837,7.3999999761,0.0,0.0,0.0,7.3999999761,3.534755899209779,1.0,0.4776697176521737,3.9610173522826315,31
1979-08,1979,8,110.89969168817636,27.29462010353666,35.224222920990165,10.890802695845723,0.28888788068486443,0.09514880449333213,31.500000029699997,0.0,0.0,0.0,31.500000029699997,17.858789410885997,1.0,0.5669456950491337,-4.20537992616334,31
1979-09,1979,9,84.24688214797733,32.00258082695243,42.916041092586724,8.924215566355494,0.4020164366830508,0.10078143316151393,61.4000005721,0.0,10.86966141706598,22.733138254244935,27.797200900789086,16.56075737472593,0.4527231374883743,0.2697191729710031,4.205379926163345,30
1979-10,1979,10,39.30536257449929,11.750072234760541,14.686797953854118,3.8979140065710784,0.5578989621613614,0.08672039573647647,137.0000051854,0.0,21.196619188982964,89.6533137616565,26.150072234760536,17.27424872575386,0.19087643244518163,0.1260894019848896,-14.399999999999999,31
1979-11,1979,11,17.712835063298773,19.484118569628652,19.484118569628652,1.6838716234606983,1.1000000000000005,0.08573819250148396,94.500001669,0.0,20.16066723115551,54.855215868215836,19.48411856962865,13.028100357776779,0.20618114524351658,0.13786349341463078,8.881784197001252e-16,30
1979-12,1979,12,15.137226483967137,16.650949132363852,16.650949132363852,1.334659566503248,1.1000000000000005,0.08610319868453808,168.70000395210002,0.0,38.86028057671245,113.1887742430237,16.650949132363856,5.273176927292537,0.09870153374206,0.03125771667906885,6.661338147750939e-16,31
1980-01,1980,1,15.473594149388626,15.563085804600647,15.5645991288745,1.613946480285589,1.0457939530846905,0.09225808038696337,225.30000361799998,0.0,81.0052177891386,129.562809979109,14.731975849752377,8.435025952195499,0.06538826281925275,0.0374390848501593,0.8311099548482686,31
1980-02,1980,2,22.52774699344942,24.780521692794366,24.780521692794366,2.00812646032353,1.1000000000000005,0.08570228592156169,114.80000031000002,0.0,18.355869710242924,71.6044309212256,24.839699678531474,8.395409660128834,0.21637368999525808,0.07313074597089113,-0.0591779857371193,29
1980-03,1980,3,40.46571300881795,44.512284309699744,44.512284309699744,3.753222923362306,1.1000000000000005,0.09037176741314026,90.00000119219999,0.0,7.617100544711042,44.29104902427688,38.09185162321207,9.894622046773065,0.42324279020691136,0.10994024350780343,6.420432686487681,31
1980-04,1980,4,80.5635954594395,60.520750890467205,68.51850065614025,8.530359571368164,0.7916868766760083,0.1040199146710182,84.9000007809,0.0,5.525905779822196,26.06097945501178,53.31311554606603,31.73122008883593,0.6279518852261295,0.3737481719314014,7.2076353444011705,30
1980-05,1980,5,97.51059104327237,41.099999725900005,49.57721551669361,9.44071883129735,0.45656821334097525,0.09512500966997678,41.09999972589999,0.0,0.0,0.0,41.09999972589999,22.730920548734957,1.0,0.5530637639982905,1.7763568394002505e-15,31
1980-06,1980,6,97.40684209538432,57.44061466170835,69.36929494438462,9.077380730566603,0.6362659803202834,0.09057092158751906,62.3000016214,0.0,0.35221960525621376,4.507167354435445,57.44061466170834,33.95428556158087,0.9220002113447383,0.5450125951508419,-5.329070518200751e-15,30
1980-07,1980,7,140.45717628736284,5.199999988100007,24.4687649024208,14.817759819710538,0.05129479709440579,0.10373242481104136,5.1999999881,0.0,0.0,0.0,5.1999999881,3.261583659545182,1.0,0.6272276282709982,6.536438057480609e-15,31
1980-08,1980,8,117.36428874375807,1.0744638405468323,13.716876952198064,12.289736776959277,0.019628577849896578,0.10327446376904659,6.3999999165,0.0,0.0,0.0,6.3999999165,5.571922548126116,1.0,0.8706129095034835,-5.325536075953168,31
1980-09,1980,9,75.88317976859172,40.634217230222276,44.27267239391983,7.941808051182377,0.5758089509432394,0.09877703930279982,39.10000106689999,0.0,0.0,3.791319912630906,35.30868115426909,25.406665793583397,0.9030352989979727,0.6497868312103793,5.325536075953175,30
1980-10,1980,10,45.370518119360426,16.229440603218535,20.958177478753765,4.86023331688127,0.535173152150953,0.09579353377501627,36.4999998807,0.0,0.6021743537154517,5.268384923766011,30.629440603218534,25.970132210113757,0.8391627589953602,0.711510473835533,-14.400000000000002,31
