Month,Region,Crop,Crop_cdl,ETc_mean_in,NIWR_mean_in,ETc_mean_mm,NIWR_mean_mm
3,14.0,Peas,Peas,1.0424237637337401,0.23183093202501012,26.477563598836998,5.888505673435257
4,14.0,Peas,Peas,1.8626561626534506,1.1060214217875974,47.31146653139764,28.09294411340497
5,14.0,Peas,Peas,5.563753014272001,4.715562540563298,141.31932656250882,119.77528853030778
6,14.0,Peas,Peas,5.587925040962093,5.077229293010326,141.93329604043714,128.9616240424623
7,14.0,Peas,Peas,0.6338657850854061,0.4795754108971389,16.100190941169316,12.181215436787328
Season,14.0,Peas,Peas,14.690623766706691,11.610219598283372,373.14184367434996,294.89957779639764
4,14.0,Potatoes (Mid),Potatoes,2.0362575647419217,1.318721058800626,51.720942144444805,33.4955148935359
5,14.0,Potatoes (Mid),Potatoes,3.9880775549841796,3.1937650772115784,101.29716989659816,81.12163296117409
6,14.0,Potatoes (Mid),Potatoes,6.894115824929285,6.407304597393966,175.11054195320384,162.74553677380672
7,14.0,Potatoes (Mid),Potatoes,7.991099929447516,7.827286476593153,202.97393820796688,198.81307650546609
8,14.0,Potatoes (Mid),Potatoes,3.555021722968053,3.3667814120503046,90.29755176338854,85.51624786607773
9,14.0,Potatoes (Mid),Potatoes,0.41026760120804756,0.06963138157967448,10.420797070684408,1.7686370921237318
Season,14.0,Potatoes (Mid),Potatoes,24.874840198279003,22.183490003629306,631.8209410362866,563.4606460921843
3,14.0,Mint,Mint,0.7553220842934588,0.07339697558619185,19.185180941053854,1.864283179889273
4,14.0,Mint,Mint,2.163463829489896,1.4082528741593028,54.95198126904336,35.76962300364629
5,14.0,Mint,Mint,6.133528548580145,5.339635408785552,155.79162513393567,135.62673938315302
6,14.0,Mint,Mint,8.857184826081786,8.348023096025459,224.97249458247737,212.03978663904664
7,14.0,Mint,Mint,7.171243360885338,7.006077377585805,182.14958136648758,177.95436539067944
8,14.0,Mint,Mint,6.962541416981657,6.764741776211575,176.8485519913341,171.824441115774
Season,14.0,Mint,Mint,32.04328406631228,28.940127508353882,813.8994152843319,735.0792387121886
5,14.0,Corn (Sweet),Sweet Corn,4.070663534551449,3.344355941424213,103.3948537776068,84.946640912175
6,14.0,Corn (Sweet),Sweet Corn,6.779368178921599,6.321567509428533,172.1959517446086,160.56781473948473
7,14.0,Corn (Sweet),Sweet Corn,10.1658564051991,10.012917276534667,258.21275269205717,254.32809882398053
8,14.0,Corn (Sweet),Sweet Corn,4.34747637052058,4.175342467672682,110.42589981122272,106.05369867888611
Season,14.0,Corn (Sweet),Sweet Corn,25.363364489192726,23.854183195060095,644.2294580254952,605.8962531545263
3,14.0,Pasture,Grass/Pasture,1.2726355627741979,0.6435667572484679,32.324943294464624,16.346595634111083
4,14.0,Pasture,Grass/Pasture,3.810985231999004,3.0864204312070136,96.7990248927747,78.39507895265814
5,14.0,Pasture,Grass/Pasture,6.6684975299472455,5.851071194822202,169.37983726066003,148.61720834848393
6,14.0,Pasture,Grass/Pasture,8.33728118486116,7.826041119762297,211.76694209547347,198.78144444196232
7,14.0,Pasture,Grass/Pasture,7.901824156237818,7.748741813486612,200.70633356844056,196.81804206255993
8,14.0,Pasture,Grass/Pasture,7.14971093713141,6.961369313566351,181.6026578031378,176.8187805645853
9,14.0,Pasture,Grass/Pasture,4.275704135169672,3.946082944338279,108.60288503330966,100.2305067861923
10,14.0,Pasture,Grass/Pasture,1.9621167004278306,1.2546842504195874,49.83776419086689,31.86897996065752
Season,14.0,Pasture,Grass/Pasture,41.37875543854834,37.317977824850814,1051.0203881391278,947.8766367512106
3,14.0,Grain (Winter),Winter Wheat,2.639800491682628,1.789409461297968,67.05093248873875,45.45100031696839
4,14.0,Grain (Winter),Winter Wheat,5.208846169880598,4.4052577365669086,132.3046927149672,111.89354650879947
5,14.0,Grain (Winter),Winter Wheat,7.479865197219863,6.565636343524608,189.9885760093845,166.76716312552503
6,14.0,Grain (Winter),Winter Wheat,4.963980676681184,4.413252934132878,126.08510918770207,112.09662452697509
7,14.0,Grain (Winter),Winter Wheat,0.3711973379858215,0.2054368697306254,9.428412384839865,5.218096491157884
Season,14.0,Grain (Winter),Winter Wheat,20.663689873450096,17.37899334525299,524.8577227856324,441.42643096942595
3,14.0,Potatoes (Early),Potatoes,1.1008704825854805,0.33011916872049263,27.962110257671203,8.385026885500512
4,14.0,Potatoes (Early),Potatoes,2.0362575647419217,1.318721058800626,51.720942144444805,33.4955148935359
5,14.0,Potatoes (Early),Potatoes,3.9880775549841796,3.1937650772115784,101.29716989659816,81.12163296117409
6,14.0,Potatoes (Early),Potatoes,6.894115824929285,6.407304597393966,175.11054195320384,162.74553677380672
7,14.0,Potatoes (Early),Potatoes,7.991099929447516,7.827286476593153,202.97393820796688,198.81307650546609
Season,14.0,Potatoes (Early),Potatoes,22.010421356688383,19.077196378719815,559.0647024598849,484.56078801948325
4,14.0,Alfalfa Hay,Alfalfa,4.728368615608188,3.966153233103074,120.10056283644798,100.74029212081807
5,14.0,Alfalfa Hay,Alfalfa,6.063076117007971,5.201436154271931,154.00213337200245,132.11647831850706
6,14.0,Alfalfa Hay,Alfalfa,7.538927319587304,6.981343883816716,191.48875391751753,177.32613464894456
7,14.0,Alfalfa Hay,Alfalfa,8.14442283929274,7.980763778875589,206.8683401180356,202.71139998343995
8,14.0,Alfalfa Hay,Alfalfa,8.091426456160821,7.910603332357721,205.52223198648485,200.9293246418861
9,14.0,Alfalfa Hay,Alfalfa,3.793400486506904,3.440696077961964,96.35237235727536,87.39368038023387
Season,14.0,Alfalfa Hay,Alfalfa,38.35962183416393,35.480996460387,974.3343945877638,901.2173100938297
3,14.0,Grain (Spring),Spring Wheat,1.2479346685123365,0.39101757267184006,31.697540580213346,9.931846345864738
4,14.0,Grain (Spring),Spring Wheat,2.6118143377904546,1.7037676075288792,66.34008417987754,43.27569723123353
5,14.0,Grain (Spring),Spring Wheat,6.131764653495143,5.086526680482676,155.7468221987766,129.19777768425996
6,14.0,Grain (Spring),Spring Wheat,9.028884429153576,8.38223981026518,229.33366450050082,212.90889118073554
7,14.0,Grain (Spring),Spring Wheat,6.86021211360885,6.676544558407829,174.24938768566477,169.58423178355886
8,14.0,Grain (Spring),Spring Wheat,0.7363740381958055,0.5236037912302078,18.70390057017346,13.299536297247279
Season,14.0,Grain (Spring),Spring Wheat,26.616984240756167,22.76370002058661,676.0713997152067,578.1979805228999
3,14.0,Onions,Onions,1.019270166578485,0.2954999690083205,25.889462231093514,7.50569921281134
4,14.0,Onions,Onions,2.8253470813186268,2.166863148726107,71.76381586549311,55.03832397764312
5,14.0,Onions,Onions,5.268299164102834,4.5383019780624085,133.81479876821197,115.27287024278517
6,14.0,Onions,Onions,7.063267863291709,6.609865791749817,179.4070037276094,167.89059111044534
7,14.0,Onions,Onions,8.541239572139778,8.387845473918215,216.94748513235035,213.05127503752266
8,14.0,Onions,Onions,6.54394877133341,6.367296796440493,166.2162987918686,161.7293386295885
9,14.0,Onions,Onions,1.6657126342733874,1.3578046449334802,42.30910091054404,34.4882379813104
Season,14.0,Onions,Onions,32.927085253038236,29.723477802838847,836.3479654271712,754.9763361921067
4,14.0,Potatoes (Late),Potatoes,2.0362575647419217,1.318721058800626,51.720942144444805,33.4955148935359
5,14.0,Potatoes (Late),Potatoes,3.9880775549841796,3.1937650772115784,101.29716989659816,81.12163296117409
6,14.0,Potatoes (Late),Potatoes,6.894115824929285,6.407304597393966,175.11054195320384,162.74553677380672
7,14.0,Potatoes (Late),Potatoes,7.991099929447516,7.827286476593153,202.97393820796688,198.81307650546609
8,14.0,Potatoes (Late),Potatoes,3.555021722968053,3.3667814120503046,90.29755176338854,85.51624786607773
9,14.0,Potatoes (Late),Potatoes,0.41026760120804756,0.06963138157967448,10.420797070684408,1.7686370921237318
10,14.0,Potatoes (Late),Potatoes,0.4703753435342089,-0.24918881291839315,11.947533725768906,-6.329395848127185
Season,14.0,Potatoes (Late),Potatoes,25.345215541813207,21.934301190710908,643.7684747620555,557.131250244057
3,14.0,Cherries,Cherries,0.9734309985827366,0.25860520661765757,24.725147364001508,6.568572248088502
4,14.0,Cherries,Cherries,2.428822304176461,1.695375950564984,61.69208652608211,43.06254914435059
5,14.0,Cherries,Cherries,5.3954741782170474,4.5668607162024655,137.045044126713,115.99826219154262
6,14.0,Cherries,Cherries,8.099498716199937,7.603495442396161,205.7272673914784,193.1287842368625
7,14.0,Cherries,Cherries,10.28141808368476,10.131503985697426,261.1480193255929,257.3402012367146
8,14.0,Cherries,Cherries,8.894830768974371,8.7119357083126,225.928701531949,221.28316699114004
9,14.0,Cherries,Cherries,5.2657195556131855,4.978716924485823,133.7492767125749,126.4594098819399
10,14.0,Cherries,Cherries,1.6987422278906383,0.9874162678699401,43.14805258842221,25.080373203896478
11,14.0,Cherries,Cherries,1.6326149339761926,0.6695602309410823,41.46841932299529,17.00682986590349
Season,14.0,Cherries,Cherries,43.41870342044148,38.39008334209111,1102.8350668792136,975.1081168891142
3,14.0,Pears,Pears,0.9268860846256654,0.3018883923750673,23.5429065494919,7.667965166326709
4,14.0,Pears,Pears,2.2209743708603034,1.7403611676848474,56.4127490198517,44.20517365919512
5,14.0,Pears,Pears,5.677786107937908,4.505432628003085,144.21576714162285,114.43798875127835
6,14.0,Pears,Pears,9.133582717374061,8.962979041659274,231.99300102130113,227.65966765814554
7,14.0,Pears,Pears,10.86693310589695,10.800441416235534,276.0201008897825,274.33121197238256
8,14.0,Pears,Pears,9.423954395671458,9.283971890746264,239.36844165005502,235.81288602495508
9,14.0,Pears,Pears,5.458314072391546,5.232154837784808,138.64117743874525,132.89673287973412
10,14.0,Pears,Pears,0.895738735157189,0.24491604042653323,22.7517638729926,6.2208674268339434
11,14.0,Pears,Pears,,,,
Season,14.0,Pears,Pears,44.60416958991508,41.07214541491541,1132.9459075838429,1043.2324935388515
3,14.0,Apples,Apples,0.9213945532786851,0.25132356056088634,23.403421653278603,6.383618438246512
4,14.0,Apples,Apples,2.4213758634454763,1.6950788923694422,61.5029469315151,43.05500386618383
5,14.0,Apples,Apples,5.427864062508451,4.594253553771339,137.86774718771466,116.69404026579201
6,14.0,Apples,Apples,8.1199250414145,7.604590204887842,206.2460960519283,193.15659120415117
7,14.0,Apples,Apples,10.192111388161976,10.02272585528836,258.8796292593142,254.57723672432434
8,14.0,Apples,Apples,8.71519884246032,8.526996114163111,221.3660505984921,216.58570129974302
9,14.0,Apples,Apples,5.1587806849720295,4.836181540397459,131.03302939828953,122.83901112609546
10,14.0,Apples,Apples,1.7343501795584686,1.030018434671531,44.0524945607851,26.16246824065689
11,14.0,Apples,Apples,1.594810722036479,0.6380014306802425,40.50819233972656,16.20523633927816
Season,14.0,Apples,Apples,43.09403776724778,38.01773391434616,1094.5885592880934,965.6504414243924
5,14.0,Corn (Field),Corn,3.236465029468772,2.461567207749078,82.2062117485068,62.52380707682658
6,14.0,Corn (Field),Corn,5.628960168675676,5.142429361284159,142.97558828436217,130.61770577661764
7,14.0,Corn (Field),Corn,10.336173022359496,10.173416057393188,262.53879476793117,258.40476785778696
8,14.0,Corn (Field),Corn,8.718537442825468,8.531810810088693,221.4508510477669,216.7079945762528
9,14.0,Corn (Field),Corn,4.190890972179176,3.859441893829627,106.44863069335106,98.02982410327252
