Month,Region,Crop,Crop_cdl,ETc_mean_in,NIWR_mean_in,ETc_mean_mm,NIWR_mean_mm
3,5.0,Grain (Spring),Spring Wheat,1.8041371175292849,0.07792923681507954,45.82508278524383,1.9794026151030204
4,5.0,Grain (Spring),Spring Wheat,3.01440097773328,0.9163822531124155,76.5657848344253,23.276109229055354
5,5.0,Grain (Spring),Spring Wheat,5.0477978649641795,2.8569917285797546,128.21406577009014,72.56758990592576
6,5.0,Grain (Spring),Spring Wheat,6.111044328508008,4.59565133604444,155.2205259441034,116.72954393552878
7,5.0,Grain (Spring),Spring Wheat,3.8061115067023232,3.412422728242005,96.67523227023901,86.67553729734692
8,5.0,Grain (Spring),Spring Wheat,0.5713736991510444,0.1286817456869942,14.512891958436528,3.2685163404496524
Season,5.0,Grain (Spring),Spring Wheat,20.35486549458812,11.98805902848069,517.0135835625382,304.4966993234095
3,5.0,Apples,Apples,1.5440221007291037,-0.0006324876665681663,39.21816135851923,-0.016065186730831422
4,5.0,Apples,Apples,2.6056075637580984,0.40063618320311606,66.1824321194557,10.176159053359147
5,5.0,Apples,Apples,4.041328102407167,1.8359548295416006,102.64973380114205,46.633252670356654
6,5.0,Apples,Apples,5.514644609944327,4.025879460543152,140.0719730925859,102.25733829779605
7,5.0,Apples,Apples,7.254076533545054,6.892131248624002,184.25354395204437,175.06013371504966
8,5.0,Apples,Apples,6.211055921908288,5.753683188200434,157.76082041647052,146.143552980291
9,5.0,Apples,Apples,3.9968273054722587,2.6657370563818574,101.51941355899537,67.70972123209917
10,5.0,Apples,Apples,1.6236349111209454,-0.8421503383380549,41.24032674247201,-21.39061859378659
11,5.0,Apples,Apples,1.8321448934254954,0.34062437027870995,46.53648029300758,8.651859005079233
Season,5.0,Apples,Apples,33.101943161947396,20.147593275669845,840.7893563134638,511.748869202014
4,5.0,Grapes,Grapes,2.253539641994136,0.1462686752549383,57.23990690665105,3.715224351475433
5,5.0,Grapes,Grapes,2.7991613577222862,0.6537643152532973,71.09869848614606,16.60561360743375
6,5.0,Grapes,Grapes,3.6077965077136382,2.0175273471753017,91.63803129592641,51.24519461825266
7,5.0,Grapes,Grapes,4.926338890167785,4.45493437291274,125.12900781026174,113.1553330719836
8,5.0,Grapes,Grapes,4.662163955034198,4.1704588374056275,118.41896445786863,105.92965447010293
9,5.0,Grapes,Grapes,3.18844312758591,1.7098595469191529,80.98645544068212,43.43043249174648
10,5.0,Grapes,Grapes,1.549424862460024,-1.2506192146106803,39.35539150648461,-31.765728051111278
