Month,Region,Crop,Crop_cdl,ETc_mean_in,NIWR_mean_in,ETc_mean_mm,NIWR_mean_mm
3,15.0,Peas,Peas,1.8554812981837374,0.32528273238419725,47.129224973866926,8.26218140255861
4,15.0,Peas,Peas,2.455885264643093,0.9708976592886165,62.379485721934564,24.660800545930858
5,15.0,Peas,Peas,5.159490918187163,3.5434911712641823,131.05106932195392,90.00467575011022
6,15.0,Peas,Peas,5.0897211834551905,4.129230937593223,129.27891805976182,104.88246581486787
7,15.0,Peas,Peas,0.900253572258139,0.5903691419509084,22.86644073535673,14.995376205553072
Season,15.0,Peas,Peas,15.460832236727326,9.559271642481127,392.70513881287405,242.80549971902062
4,15.0,Potatoes,Potatoes,2.5701847123475425,1.11518479115786,65.28269169362758,28.325693695409644
5,15.0,Potatoes,Potatoes,3.7874846619321,2.1781586754604962,96.20211041307533,55.3252303566966
6,15.0,Potatoes,Potatoes,6.075755366606551,5.217188977237822,154.3241863118064,132.51660002184067
7,15.0,Potatoes,Potatoes,7.5003760103854304,7.364009270340986,190.50955066378992,187.04583546666103
8,15.0,Potatoes,Potatoes,3.9156715618743845,3.636506002242694,99.45805767160935,92.36725245696442
9,15.0,Potatoes,Potatoes,0.9728504590040141,0.276245016112821,24.710401658701958,7.0166234092656525
Season,15.0,Potatoes,Potatoes,24.822322772150027,19.787292732552682,630.4869984126107,502.5972354068381
5,15.0,Corn (Sweet),Sweet Corn,3.545938865622736,2.2683070523130224,90.0668471868175,57.61499912875077
6,15.0,Corn (Sweet),Sweet Corn,5.916650893256462,4.932280509933001,150.28293268871414,125.27992495229822
7,15.0,Corn (Sweet),Sweet Corn,9.526587497384847,9.327450162295758,241.97532243357512,236.91723412231224
8,15.0,Corn (Sweet),Sweet Corn,5.02974136930724,4.575180727667776,127.7554307804039,116.20959048276151
Season,15.0,Corn (Sweet),Sweet Corn,24.018918625571285,21.103218452209557,610.0805330895106,536.0217486861227
3,15.0,Pasture,Grass/Pasture,1.024729310093116,0.1145289759160808,26.028124476365146,2.909035988268452
4,15.0,Pasture,Grass/Pasture,2.84637084147405,1.4117077686377535,72.29781937344086,35.857377323398936
5,15.0,Pasture,Grass/Pasture,5.429317494156841,3.6232661236121246,137.90466435158376,92.03095953974795
6,15.0,Pasture,Grass/Pasture,7.536210930741012,6.403659430799817,191.4197576408217,162.65294954231535
7,15.0,Pasture,Grass/Pasture,8.028512303825163,7.688984051340259,203.92421251715913,195.30019490404257
8,15.0,Pasture,Grass/Pasture,6.71751602609311,6.275306171631959,170.62490706276498,159.39277675945175
9,15.0,Pasture,Grass/Pasture,4.2365943986231756,3.599441543290306,107.60949772502865,91.42581519957378
10,15.0,Pasture,Grass/Pasture,2.0688945442731055,0.7454015454602001,52.549921424536876,18.933199254689082
Season,15.0,Pasture,Grass/Pasture,37.888145849279574,29.8622956106885,962.3589045717011,758.5023085114879
3,15.0,Grain (Winter),Winter Wheat,2.7739456147651267,1.1180357804953969,70.45821861503421,28.39810882458308
4,15.0,Grain (Winter),Winter Wheat,4.867355049889047,3.283744670451476,123.6308182671818,83.40711462946749
5,15.0,Grain (Winter),Winter Wheat,6.67235571468456,4.939866231989964,169.4778351529878,125.47260229254509
6,15.0,Grain (Winter),Winter Wheat,4.847120106555272,3.8048519519641015,123.1168507065039,96.64323957988817
7,15.0,Grain (Winter),Winter Wheat,0.7255076562716295,0.39487842133762474,18.42789446929939,10.029911901975668
Season,15.0,Grain (Winter),Winter Wheat,19.886284142165636,13.541377056238565,505.1116172110071,343.9509772284595
3,15.0,Alfalfa Hay,Alfalfa,2.366601285981643,0.7510876062335846,60.11167266393373,19.07762519833305
4,15.0,Alfalfa Hay,Alfalfa,4.356066518780941,2.8785615890495313,110.6440895770359,73.11546436185809
5,15.0,Alfalfa Hay,Alfalfa,5.801654842157658,4.161852880867609,147.36203299080452,105.71106317403725
6,15.0,Alfalfa Hay,Alfalfa,6.734285980671255,5.711454909363434,171.05086390904987,145.0709546978312
7,15.0,Alfalfa Hay,Alfalfa,7.828661789788231,7.497282911660397,198.84800946062106,190.43098595617408
8,15.0,Alfalfa Hay,Alfalfa,7.662919690385834,7.2555487395440394,194.63816013580018,184.2909379844186
9,15.0,Alfalfa Hay,Alfalfa,3.7222819403484877,3.1478908331701483,94.54596128485159,79.95642716252176
Season,15.0,Alfalfa Hay,Alfalfa,38.47247204811405,31.403679469888743,977.2007900220968,797.6534585351741
3,15.0,Grain (Spring),Spring Wheat,1.3422431793920968,0.13731095611109537,34.09297675655926,3.487698285221822
4,15.0,Grain (Spring),Spring Wheat,2.2493936367647946,0.9495625054444945,57.13459837382578,24.118887638290158
5,15.0,Grain (Spring),Spring Wheat,4.997922718585642,3.4854349669602653,126.9472370520753,88.53004816079074
6,15.0,Grain (Spring),Spring Wheat,8.235227230779216,7.317725337764817,209.17477166179208,185.87022357922635
7,15.0,Grain (Spring),Spring Wheat,7.328622227943024,7.0150143321932426,186.14700458975278,178.18136403770836
8,15.0,Grain (Spring),Spring Wheat,1.085065228629838,0.7267436291322634,27.56065680719788,18.45928817995949
Season,15.0,Grain (Spring),Spring Wheat,25.238474222094613,19.631791727606174,641.0572452412032,498.6475098811968
3,15.0,Onions,Onions,2.1969020673984607,0.46154781758187824,55.8013125119209,11.723314566579706
4,15.0,Onions,Onions,3.3767391473573407,1.90902243082908,85.76917434287645,48.489169743058625
5,15.0,Onions,Onions,5.1249404709250745,3.932243924416227,130.17348796149687,99.87899568017215
6,15.0,Onions,Onions,6.529559706416931,5.613425353485785,165.85081654299003,142.58100397853892
7,15.0,Onions,Onions,7.649516466146565,7.494358065906314,194.29771824012275,190.35669487402038
8,15.0,Onions,Onions,4.725578624696165,4.381170364284635,120.02969706728257,111.28172725282973
9,15.0,Onions,Onions,1.352020422278556,0.8265886909766162,34.34131872587532,20.995352750806052
Season,15.0,Onions,Onions,30.955256905219095,24.61835664748054,786.2635253925649,625.3062588460057
3,15.0,Cherries,Cherries,1.6449342033192387,0.27258037946506075,41.78132876430866,6.9235416384125426
4,15.0,Cherries,Cherries,3.1995471871418415,1.6761380462596276,81.26849855340276,42.573906374994536
5,15.0,Cherries,Cherries,5.253164098873005,3.4999616208066664,133.43036811137432,88.89902516848932
6,15.0,Cherries,Cherries,7.548319966636478,6.4804404609690645,191.72732715256652,164.60318770861423
7,15.0,Cherries,Cherries,9.708816581003523,9.371383323508136,246.6039411574895,238.03313641710662
8,15.0,Cherries,Cherries,8.468147099931144,8.0745181248719,215.09093633825105,205.09276037174627
9,15.0,Cherries,Cherries,5.137104879980399,4.521626487925034,130.48246395150213,114.84931279329587
10,15.0,Cherries,Cherries,2.2386683353996673,1.0810173290726557,56.862175719151544,27.457840158445453
11,15.0,Cherries,Cherries,1.9527699082306262,0.22905571406578298,49.600355669057905,5.818015137270887
Season,15.0,Cherries,Cherries,43.96624356334054,34.14287258549225,1116.7425865088496,867.228963671503
3,15.0,Pears,Pears,1.055618394724,0.19567037268819842,26.8127072259896,4.970027466280239
4,15.0,Pears,Pears,2.6346638381050074,1.5599103580213267,66.92046148786719,39.62172309374169
5,15.0,Pears,Pears,4.826582609672763,2.3958237062465066,122.59519828568817,60.85392213866127
6,15.0,Pears,Pears,7.642899058594951,6.658654523887931,194.12963608831174,169.12982490675344
7,15.0,Pears,Pears,9.74187229151445,9.609572419408153,247.44355620446703,244.08313945296706
8,15.0,Pears,Pears,8.75410837801131,8.4314695014627,222.35435280148727,214.15932533715258
9,15.0,Pears,Pears,5.378507573986651,4.846847454577531,136.61409237926094,123.10992534626926
10,15.0,Pears,Pears,2.100263833848716,0.7665207209205664,53.34670137975738,19.469626311382388
11,15.0,Pears,Pears,0.8692557147222223,-0.7174554642377516,22.079095153944444,-18.22336879163889
Season,15.0,Pears,Pears,42.78645776449952,33.9263774590346,1086.7760272182877,861.7299874594787
3,15.0,Plums,Plums,1.6400695351377412,0.020829190188701375,41.65776619249863,0.5290614307930149
4,15.0,Plums,Plums,3.07189860927571,1.7073378377820354,78.02622467560303,43.3663810796637
5,15.0,Plums,Plums,5.043629166121143,3.7862136890262668,128.108180819477,96.16982770126717
6,15.0,Plums,Plums,7.46410147514501,6.38431923564375,189.58817746868323,162.16170858535125
7,15.0,Plums,Plums,9.9975716626188,9.794914935967379,253.9383202305175,248.7908393735714
8,15.0,Plums,Plums,8.559922293854285,8.182928014165114,217.42202626389883,207.84637155979388
9,15.0,Plums,Plums,5.409314894608441,4.815339988051607,137.39659832305438,122.3096356965108
10,15.0,Plums,Plums,2.2384685822785975,1.0474054900898,56.85710198987637,26.60409944828092
11,15.0,Plums,Plums,6.918010156337419,4.728816145831926,175.71745797097043,120.11193010413092
Season,15.0,Plums,Plums,43.83254091918631,35.01764237994738,1113.346539347332,889.4481164506634
3,15.0,Apples,Apples,1.6256880183515166,0.2520493893234058,41.29247566612852,6.402054488814508
4,15.0,Apples,Apples,3.1269847563151125,1.6458673743344598,79.42541281040386,41.80503130809528
5,15.0,Apples,Apples,5.2241412793894675,3.5172932800605197,132.69318849649247,89.3392493135372
6,15.0,Apples,Apples,7.533215935717512,6.493177325184132,191.34368476722477,164.92670405967695
7,15.0,Apples,Apples,9.693114140507614,9.356474439253674,246.20509916889338,237.6544507570433
8,15.0,Apples,Apples,8.416805055183227,8.007324012595442,213.78684840165394,203.3860299199242
9,15.0,Apples,Apples,5.098245475441042,4.500693300153489,129.49543507620245,114.31760982389861
10,15.0,Apples,Apples,2.1421645876745083,0.9108117161631725,54.41098052693251,23.13461759054458
11,15.0,Apples,Apples,1.8564480885392451,0.11304093614888791,47.15378144889682,2.871239778181753
Season,15.0,Apples,Apples,43.60565585191132,33.761007120064505,1107.5836586385476,857.5295808496384
