HUC8_all,Year,ACRES FTR GEOM,ET VOLUME,EFF VOLUME,CU VOLUME,AW VOLUME,ET RATE,EFF RATE,CU RATE,AW RATE
Lower Columbia-Sandy (17080001),1994,2478.6820759961893,4967.902084765195,4361.795749639823,606.1063351253702,656.1615356041256,2.0042514257374378,1.7597237628334426,0.24452766290399477,0.2647219431481193
Lower Columbia-Sandy (17080001),1995,2260.034531236674,5109.796470961237,4816.396526218745,293.39994474249363,282.31770058168615,2.2609373442472114,2.131116343422969,0.1298210008242429,0.12491742788868099
Lower Columbia-Sandy (17080001),1996,2396.463538200563,4615.171740073021,4273.442389914221,341.72935015879807,379.7673513681033,1.9258259792003443,1.7832286291002903,0.14259735010005326,0.15846990589026858
Lower Columbia-Sandy (17080001),1997,2870.502439979829,5140.584968144061,4894.336728684654,246.24823945940776,450.5524561101833,1.7908310742213422,1.705045312108861,0.08578576211248165,0.1569594402133131
Lower Columbia-Sandy (17080001),1998,2021.275473484392,3961.0858103229393,3810.582378321241,150.50343200169962,297.4437659501434,1.9596961731765288,1.8852365391602648,0.07445963401626453,0.1471564711748036
Lower Columbia-Sandy (17080001),1999,3349.6948861347523,7019.415314044058,6325.907436053511,693.5078779905477,1044.0396712432394,2.0955387140181694,1.8885025804105524,0.20703613360761752,0.31168202082069857
Lower Columbia-Sandy (17080001),2000,3760.742306239798,8343.573076559998,7242.245699888475,1101.3273766715242,1581.5060872474855,2.2185973930509406,1.9257489905309892,0.2928484025199518,0.42053029919743806
Lower Columbia-Sandy (17080001),2001,3926.2110842695697,8324.422367571136,7376.175853932729,948.2465136384036,783.4541684043262,2.120217733815452,1.878700786996782,0.2415169468186693,0.1995445867755935
Lower Columbia-Sandy (17080001),2002,4229.824558014489,9048.204720744692,7479.799173811175,1568.4055469335187,1920.096794990811,2.139144211927311,1.768347379713131,0.37079683221418047,0.45394241975182975
Lower Columbia-Sandy (17080001),2003,4054.679594285548,8226.95042455094,5838.490878981909,2388.4595455690323,3110.579594111693,2.0290013633002153,1.4399389010195458,0.5890624622806698,0.7671579274711571
Lower Columbia-Sandy (17080001),2004,4421.196516686818,9590.977103838797,8526.222043854588,1064.7550599842061,831.0689599264604,2.169317076868173,1.928487460730205,0.2408296161379677,0.18797376610376318
Lower Columbia-Sandy (17080001),2005,3442.0294264143186,7250.456115072322,7039.1352515981725,211.3208634741482,88.15071237518818,2.106448033079535,2.045053769029245,0.0613942640502898,0.02561009842005268
Lower Columbia-Sandy (17080001),2006,3456.808693713538,7616.046058257718,6313.737303705121,1302.3087545525927,1284.543366036299,2.203201488155263,1.826464193748158,0.3767372944071037,0.3715980489091965
Lower Columbia-Sandy (17080001),2007,3378.7460273513866,6967.946596605421,5606.057387569626,1361.8892090357967,1108.517767197986,2.062287765993357,1.6592124244284316,0.4030753415649259,0.328085555476615
Lower Columbia-Sandy (17080001),2008,4012.1539269757986,7843.420780466838,6739.312141255841,1104.1086392109937,1222.5042012580707,1.9549152209070142,1.679724223924695,0.27519099698231836,0.30470022424576954
Lower Columbia-Sandy (17080001),2009,3512.0208931184843,7364.193812038235,5828.502969136351,1535.690842901884,1456.3599586087316,2.0968536452809166,1.6595866444179823,0.4372670008629344,0.4146786146581158
Lower Columbia-Sandy (17080001),2010,3519.1579126048377,7247.162645112125,7073.772752808378,173.3898923037474,190.693616269698,2.0593456801567234,2.0100754011269863,0.04927027902973706,0.05418728599437839
Lower Columbia-Sandy (17080001),2011,3477.29489080481,6524.388304554698,6221.467996635202,302.920307919498,379.35694660432495,1.876282716719676,1.7891689350497568,0.08711378166991984,0.10909542000808675
Lower Columbia-Sandy (17080001),2012,2633.1363846507775,5497.800363663087,4783.513907927261,714.2864557358264,746.2631200276943,2.0879284475013016,1.816660138005605,0.27126830949569647,0.28341225482198795
Lower Columbia-Sandy (17080001),2013,2914.0985534469546,6257.12780840782,5534.714558455831,722.4132499519931,983.8931655570493,2.1471915563756583,1.8992887361029946,0.24790282027266486,0.3376320833052289
Lower Columbia-Sandy (17080001),2014,3282.9892024593746,7858.573407098941,6971.01582380192,887.5575832970196,707.1057655110518,2.3937250238934307,2.1233745814880374,0.2703504424053928,0.215384736867651
Lower Columbia-Sandy (17080001),2015,4351.520876394368,9560.816480789359,7006.186624787376,2554.6298560019823,2881.0435326983225,2.1971206739817752,1.610054696690928,0.5870659772908469,0.6620773781247556
Lower Columbia-Sandy (17080001),2016,3395.954917969005,7713.32666103932,6709.422315922093,1003.9043451172297,1044.2586271503378,2.2713277553320337,1.9757100662380849,0.2956176890939494,0.3075007331884342
Lower Columbia-Sandy (17080001),2017,4139.440438149814,8723.22793011518,7168.978244356884,1554.2496857582992,1955.5857691411384,2.107344714933055,1.7318713365908864,0.37547337834216904,0.4724275655999575
Lower Columbia-Sandy (17080001),2018,4705.548042254497,9962.737080390596,7309.016550046759,2653.7205303438454,3803.686871549066,2.11723203990864,1.5532763632235498,0.5639556766850922,0.808340885565938
Lower Columbia-Sandy (17080001),2019,4668.100415338389,9885.22365313287,8454.780027520486,1430.4436256123945,1968.127261406716,2.1176116136345566,1.8111821244761295,0.3064294891584294,0.4216120233703342
Lower Columbia-Sandy (17080001),2020,5382.437793137002,11575.258632182235,10446.173945980387,1129.0846862018498,1365.7699365173366,2.1505605967135426,1.9407886068465139,0.20977198986702913,0.2537456054315746
Lower Columbia-Sandy (17080001),2021,4620.206244932999,9988.68299054468,7619.820713153408,2368.8622773912784,2999.9129178379358,2.161956081830614,1.649238217776555,0.5127178640540605,0.6493028143771621
Lower Columbia-Sandy (17080001),2022,5831.239443457999,11738.876083385676,10162.045933645313,1576.8301497403645,2542.991138290957,2.013101365020328,1.7426905604169618,0.2704108046033665,0.4360978764375574
Lower Columbia-Sandy (17080001),2023,5317.348345847032,10588.338516695347,6636.503298877182,3951.835217818166,5878.065087661186,1.9912817118639738,1.248085110703804,0.74319660116017,1.1054504435941435
Lower Columbia-Sandy (17080001),2024,5954.864062551049,13237.100824651323,12107.345037661911,1129.7557869894108,693.5153958308831,2.2229056256542963,2.0331857974395398,0.1897198282147563,0.11646200291829716
Lower Crooked (17070305),1985,65664.247566491,139302.40941700654,35442.25186604806,103860.15755095835,152413.13656181886,2.121434640303313,0.5397496077322681,1.581685032571043,2.3210977390319862
Lower Crooked (17070305),1986,66603.27178321335,153898.4114033889,41496.029709290604,112402.38169409844,165502.23323554394,2.3106734441561976,0.6230329021126142,1.6876405420435858,2.484896444340397
Lower Crooked (17070305),1987,63185.85237936108,145994.40526969824,44415.25976289586,101579.14550680223,149983.4750762593,2.3105552868569927,0.7029304518396208,1.6076248350173696,2.373687612470187
Lower Crooked (17070305),1988,63490.705150584414,143236.70340685663,34963.83410277852,108272.86930407827,158303.65459393855,2.2560263438110226,0.5506921685599941,1.7053341752510311,2.493335901979369
Lower Crooked (17070305),1989,65844.31552148642,148392.76202646072,52030.21700044691,96362.54502601395,142099.05935682615,2.253691314902301,0.7902005904134325,1.4634907244888704,2.158106713258431
Lower Crooked (17070305),1990,63077.88756375713,137423.44697748707,40518.681735958555,96904.76524152866,142187.41258547085,2.1786310906271837,0.6423595225030888,1.5362715681240973,2.254156219828261
Lower Crooked (17070305),1991,63657.63413261908,141391.83128630466,41903.23122678349,99488.600059521,147356.9473787224,2.2211292206012643,0.6582593242388768,1.562869896362385,2.3148354378318716
Lower Crooked (17070305),1992,56557.641209835594,135051.27877205596,41543.35753331793,93507.92123873782,138046.47980670928,2.387852037021834,0.7345312966498572,1.6533207403719734,2.4408104166604185
Lower Crooked (17070305),1993,67444.43957497993,146333.1632990079,56577.483941137616,89755.67935787012,132942.757007687,2.169684620721403,0.8388754402538818,1.3308091804675186,1.9711448096457338
Lower Crooked (17070305),1994,61753.90882752972,143307.6072773906,30385.776136983804,112921.83114040652,166411.36664766335,2.320624070577124,0.49204619940491784,1.8285778711722016,2.69475033738233
Lower Crooked (17070305),1995,66591.11240088168,150668.35180051555,55283.06036992171,95385.29143059402,141105.82520011274,2.2625895013359267,0.8301867678244363,1.4324027335114933,2.118988857711956
Lower Crooked (17070305),1996,66352.13072141726,146621.5011579079,46982.19436789254,99639.30679001557,146490.6221218921,2.2097481959321787,0.7080736346681862,1.5016745612639961,2.20777570409819
Lower Crooked (17070305),1997,69094.93103914704,159156.1661907554,58069.40633601476,101086.7598547406,148824.40262707917,2.303442000695861,0.8404293261847884,1.463012674511072,2.153912022037621
Lower Crooked (17070305),1998,68191.95884604106,156689.8869412858,66920.87218684441,89769.01475444152,132719.21368231945,2.2977765940856614,0.9813601679625245,1.3164164261231386,1.946259000741765
Lower Crooked (17070305),1999,67866.8864459123,150549.46047939314,43090.76160252864,107458.69887686441,158380.1082355301,2.218305102288377,0.6349305804218759,1.5833745218664996,2.3336875541174837
Lower Crooked (17070305),2000,65769.00362887369,154290.7837933508,31650.66948859184,122640.11430475868,179862.13415728536,2.3459498438503723,0.4812399115424134,1.8647099323079548,2.7347553442078127
Lower Crooked (17070305),2001,64805.28746460579,152700.78779377937,35252.207207607586,117448.58058617121,171749.2709598687,2.3563013724332107,0.5439711570890109,1.812330215344191,2.650235461939301
Lower Crooked (17070305),2002,65152.61955876618,152731.4601680158,27454.06600382729,125277.39416418847,182058.93808202317,2.344210581283773,0.42138084684475885,1.922829734439014,2.7943456351407354
Lower Crooked (17070305),2003,63772.91202685893,152520.77886098725,40244.382722166905,112276.39613882027,163850.42585535083,2.39162324588143,0.6310576300046855,1.7605656158767433,2.5692793483594216
Lower Crooked (17070305),2004,66396.37042916723,158482.6315543147,54034.70497939545,104447.92657491926,152555.48699960663,2.3869170939605295,0.8138201626102527,1.5730969313502772,2.2976479890923462
Lower Crooked (17070305),2005,66720.3948738862,158103.27911173325,54350.34986189603,103752.92924983718,151370.203050585,2.3696394394933886,0.8145987439766832,1.5550406955167049,2.268724628154592
Lower Crooked (17070305),2006,64609.959283291406,154738.9772772016,46788.5068699896,107950.47040721221,158388.90518762832,2.3949709765134957,0.7241686481311472,1.6708023283823517,2.451462699320859
