Month,Region,Crop,Crop_cdl,ETc_mean_in,NIWR_mean_in,ETc_mean_mm,NIWR_mean_mm
5,6.0,Beans (Dry Field),Dry Beans,4.818628968502253,3.185858870873736,122.39317579995722,80.92081532019289
6,6.0,Beans (Dry Field),Dry Beans,7.204861468555355,6.5749402181026,183.003481301306,167.00348153980602
7,6.0,Beans (Dry Field),Dry Beans,7.840015488890677,7.792771392524536,199.13639341782317,197.9363933701232
Season,6.0,Beans (Dry Field),Dry Beans,19.863505925948285,17.553570481500874,504.53305051908643,445.86069023012215
5,6.0,Corn (Sweet),Sweet Corn,3.2892334942178945,2.385344246373958,83.54653075313452,60.58774385789853
6,6.0,Corn (Sweet),Sweet Corn,4.913118874681682,4.497502068837193,124.79321941691471,114.23655254846469
7,6.0,Corn (Sweet),Sweet Corn,8.675594178041642,8.473035115871365,220.3600921222577,215.21509194313268
8,6.0,Corn (Sweet),Sweet Corn,6.8729030674461615,6.50564584221401,174.5717379131325,165.24340439223585
9,6.0,Corn (Sweet),Sweet Corn,0.9964240644735015,0.25762275024945547,25.309171237626938,6.543617856336168
Season,6.0,Corn (Sweet),Sweet Corn,24.747273678860886,22.119150023545984,628.5807514430664,561.8264105980679
3,6.0,Pasture,Grass/Pasture,2.1058379432174132,0.2117550167816234,53.48828375772229,5.3785774262532335
4,6.0,Pasture,Grass/Pasture,3.566918197842071,1.274310081365589,90.5997222251886,32.36747606668596
5,6.0,Pasture,Grass/Pasture,5.595265018992197,3.486923238932498,142.1197314824018,88.56785026888544
6,6.0,Pasture,Grass/Pasture,6.412753458402949,5.300400878700435,162.8839378434349,134.63018231899105
7,6.0,Pasture,Grass/Pasture,6.728198705890937,6.40659516797802,170.89624712962978,162.7275172666417
8,6.0,Pasture,Grass/Pasture,6.10407060285159,5.71495571081055,155.04339331243037,145.15987505458796
9,6.0,Pasture,Grass/Pasture,4.072448439122996,3.001073146260526,103.4401903537241,76.22725791501735
10,6.0,Pasture,Grass/Pasture,1.9903832596123059,-0.053865052264288595,50.55573479415256,-1.3681723275129303
11,6.0,Pasture,Grass/Pasture,1.5441864671719518,-0.0878686659471442,39.222336266167574,-2.2318641150574625
Season,6.0,Pasture,Grass/Pasture,37.25225266890751,24.63608272512858,946.2072177902506,625.756501218266
3,6.0,Grain (Winter),Winter Wheat,3.3179728528087034,-0.06463367068814851,84.27651046134106,-1.6416952354789722
4,6.0,Grain (Winter),Winter Wheat,4.339919670040938,2.354783099025341,110.23395961903982,59.811490715243664
5,6.0,Grain (Winter),Winter Wheat,3.6981966989355914,2.208512665980443,93.93419615296402,56.09622171590325
6,6.0,Grain (Winter),Winter Wheat,1.3995417231904748,-0.032247911579009705,35.54835976903806,-0.8190969541068465
7,6.0,Grain (Winter),Winter Wheat,0.25563032424987214,0.12898990031450466,6.493010235946752,3.2763434679884185
Season,6.0,Grain (Winter),Winter Wheat,13.01126126922558,4.595404083053131,330.4860362383297,116.72326370954951
3,6.0,Alfalfa Hay,Alfalfa,2.7762198122198924,0.5881758545099093,70.51598323038526,14.939666704551694
4,6.0,Alfalfa Hay,Alfalfa,4.278286949443912,1.9447167682684914,108.66848851587537,49.395805914019675
5,6.0,Alfalfa Hay,Alfalfa,4.552444471042522,2.75378224912053,115.63208956448005,69.94606912766146
6,6.0,Alfalfa Hay,Alfalfa,7.14642902160505,6.177876881115173,181.51929714876826,156.9180727803254
7,6.0,Alfalfa Hay,Alfalfa,6.994034033601698,6.722111439659675,177.64846445348314,170.74163056735574
8,6.0,Alfalfa Hay,Alfalfa,7.33011741934146,7.00166095161108,186.18498245127307,177.84218817092142
9,6.0,Alfalfa Hay,Alfalfa,3.8734073167492644,2.9830097218040366,98.3845458454313,75.76844693382253
Season,6.0,Alfalfa Hay,Alfalfa,36.9509390240038,28.171333866088897,938.5538512096965,715.551880198658
3,6.0,Grain (Spring),Spring Wheat,2.097017333276128,0.12310768327509602,53.26424026521365,3.126935155187439
4,6.0,Grain (Spring),Spring Wheat,3.4666561617878116,1.7502145584238258,88.05306650941041,44.45544978396517
5,6.0,Grain (Spring),Spring Wheat,6.130384541123036,4.953375936592399,155.71176734452513,125.81574878944691
6,6.0,Grain (Spring),Spring Wheat,6.782223622885115,5.7034304104887275,172.2684800212819,144.86713242641366
7,6.0,Grain (Spring),Spring Wheat,4.474962445989615,4.358108327824003,113.6640461281362,110.69595152672967
8,6.0,Grain (Spring),Spring Wheat,0.40559058288637556,0.07068244055054879,10.302000805313938,1.7953339899839391
Season,6.0,Grain (Spring),Spring Wheat,23.356834687948083,16.958919357154603,593.2636010738813,430.75655167172687
5,6.0,Corn (Silage),Corn,2.838827384116807,1.7848501372498216,72.1062155565669,45.335193486145464
6,6.0,Corn (Silage),Corn,3.0119073950659456,2.147588410515678,76.50244783467501,54.54874562709822
7,6.0,Corn (Silage),Corn,6.48147473563198,6.165751129655094,164.62945828505227,156.6100786932394
8,6.0,Corn (Silage),Corn,6.923836102402879,6.854544761811278,175.86543700103311,174.10543695000644
9,6.0,Corn (Silage),Corn,2.029068605197928,1.2362936981612984,51.53834257202737,31.40185993329698
Season,6.0,Corn (Silage),Corn,21.285114222415537,18.18902813739317,540.6419012493546,462.00131468978645
3,6.0,Plums,Plums,1.9496518098247473,0.10548892875356009,49.52115596954858,2.679418790340426
4,6.0,Plums,Plums,3.09458111966228,0.908738520555237,78.6023604394219,23.081958422103018
5,6.0,Plums,Plums,4.892267495919917,3.570339745275723,124.26359439636589,90.68662953000336
6,6.0,Plums,Plums,6.371957662009365,5.838686987996487,161.84772461503786,148.30264949511076
7,6.0,Plums,Plums,8.508941510034676,8.188075370883103,216.12711435488075,207.9771144204308
8,6.0,Plums,Plums,6.758875878544739,5.7830307353569665,171.67544731503637,146.88898067806693
9,6.0,Plums,Plums,4.935747565716714,3.9598644848960562,125.36798816920452,100.58055791635982
10,6.0,Plums,Plums,2.306471405334155,-1.1731599286388898,58.58437369548753,-29.7982621874278
11,6.0,Plums,Plums,40.97309592313119,30.03729133176625,1040.7166364475322,762.9471998268627
Season,6.0,Plums,Plums,36.663892970961996,24.324838358390235,931.2628814624346,617.8508943031119
