Month,Region,Crop,Crop_cdl,ETc_mean_in,NIWR_mean_in,ETc_mean_mm,NIWR_mean_mm
4,22.0,Peas,Peas,2.008422295505945,0.3271493166371412,51.013926305851,8.309592642583386
5,22.0,Peas,Peas,2.986995620776491,0.7247697120706669,75.86968876772286,18.409150686594938
6,22.0,Peas,Peas,5.008353825305028,3.249400537654776,127.21218716274771,82.5347736564313
7,22.0,Peas,Peas,6.8669024918892205,6.443634730417403,174.4193232939862,163.66832215260203
Season,22.0,Peas,Peas,16.870674233476684,10.744954296779987,428.5151255303078,272.9218391382117
5,22.0,Potatoes,Potatoes,2.9196144438814287,1.5993547622714872,74.15820687458829,40.623610961695775
6,22.0,Potatoes,Potatoes,3.4882527416298204,2.3643266745034204,88.60161963739743,60.05389753238688
7,22.0,Potatoes,Potatoes,6.7349394250337,6.445569346293542,171.06746139585596,163.71746139585596
8,22.0,Potatoes,Potatoes,5.817034177092319,5.081505983908162,147.7526680981449,129.0702519912673
9,22.0,Potatoes,Potatoes,3.7646552668417943,3.319773545698639,95.62224377778156,84.32224806074542
10,22.0,Potatoes,Potatoes,2.161551059412612,1.3288738940582805,54.90339690908034,33.75339690908032
Season,22.0,Potatoes,Potatoes,24.886047113891674,20.13940420673353,632.1055966928485,511.54086685103164
3,22.0,Pasture,Grass/Pasture,0.6545349241789079,0.02517637998008525,16.62518707414426,0.6394800514941653
4,22.0,Pasture,Grass/Pasture,1.5306099366524897,0.39042516823133294,38.87749239097324,9.916799273075856
5,22.0,Pasture,Grass/Pasture,3.851899383102906,1.7500119192616943,97.83824433081381,44.45030274924703
6,22.0,Pasture,Grass/Pasture,5.767462108665255,4.003041856099946,146.49353756009745,101.67726314493862
7,22.0,Pasture,Grass/Pasture,7.985833100957502,7.251776487258569,202.84016076432056,184.19512277636764
8,22.0,Pasture,Grass/Pasture,5.837271181416497,4.910115504425647,148.266688007979,124.71693381241144
9,22.0,Pasture,Grass/Pasture,3.4929520775673275,2.56904162505349,88.72098277021011,65.25365727635865
10,22.0,Pasture,Grass/Pasture,1.2539481804273513,0.13073222208396681,31.85028378285472,3.320598440932757
Season,22.0,Pasture,Grass/Pasture,30.37451089296824,21.030321162394735,771.5125766813932,534.1701575248262
3,22.0,Grain (Winter),Winter Wheat,1.6707922124593837,0.22538875575406858,42.43812219646834,5.724874396153342
4,22.0,Grain (Winter),Winter Wheat,2.6003639927038478,0.7423387414071261,66.04924541467773,18.855404031741003
