Month,Region,Crop,Crop_cdl,ETc_mean_in,NIWR_mean_in,ETc_mean_mm,NIWR_mean_mm
4,19.0,Pasture,Grass/Pasture,2.520963460382098,1.4793715045430988,64.03247189370528,37.57603621539471
5,19.0,Pasture,Grass/Pasture,4.99821625682196,3.7081744391680047,126.95469292327779,94.18763075486731
6,19.0,Pasture,Grass/Pasture,7.490045859191741,6.808258037380893,190.24716482347023,172.9297541494747
7,19.0,Pasture,Grass/Pasture,8.733274885925429,8.424088977222093,221.8251821025059,213.97186002144116
8,19.0,Pasture,Grass/Pasture,6.418767654085961,6.146739038791525,163.0366984137834,156.12717158530472
9,19.0,Pasture,Grass/Pasture,4.231406362578457,3.665035224684021,107.4777216094928,93.09189470697413
10,19.0,Pasture,Grass/Pasture,1.4714376800254567,0.7465542486779778,37.3745170726466,18.962477916420635
Season,19.0,Pasture,Grass/Pasture,35.86411215901111,30.97822147046761,910.9484488388821,786.8468253498772
5,19.0,Grain (Spring),Spring Wheat,2.971174009229902,1.5384464137444767,75.46781983443951,39.07653890910971
6,19.0,Grain (Spring),Spring Wheat,5.798050412928343,4.91689554332869,147.27048048837992,124.88914680054872
7,19.0,Grain (Spring),Spring Wheat,10.426606414983976,10.104559164037521,264.83580294059294,256.65580276655305
8,19.0,Grain (Spring),Spring Wheat,8.446258041709804,8.18169110480088,214.534954259429,207.81495406194233
9,19.0,Grain (Spring),Spring Wheat,2.349010192314638,2.24034877067448,59.6648588847918,56.904858775131785
Season,19.0,Grain (Spring),Spring Wheat,29.991099071166662,26.981940996586047,761.7739164076331,685.3413013132856
4,19.0,Grain (Winter),Winter Wheat,2.7477415428843037,1.807406764694266,69.7926351892613,45.908131823234356
5,19.0,Grain (Winter),Winter Wheat,5.537104454766549,4.325388454267804,140.64245315107033,109.86486673840221
6,19.0,Grain (Winter),Winter Wheat,8.183817709715639,7.117141985736623,207.8689698267772,180.77540643771022
7,19.0,Grain (Winter),Winter Wheat,9.187300002597045,9.021947594111287,233.35742006596493,229.15746889042668
8,19.0,Grain (Winter),Winter Wheat,2.0557524108944647,1.4718941364428901,52.2161112367194,37.38611106564941
Season,19.0,Grain (Winter),Winter Wheat,27.711716120858,23.743778935252873,703.8775894697932,603.091984955423
5,19.0,Alfalfa Hay,Alfalfa,5.7758859686373,4.598729292609729,146.7075036033874,116.80772403228711
6,19.0,Alfalfa Hay,Alfalfa,7.2027063155930104,6.5613606529394435,182.94874041606246,166.65856058466184
7,19.0,Alfalfa Hay,Alfalfa,7.455204702794331,7.1543337409501415,189.362199450976,181.72007702013357
8,19.0,Alfalfa Hay,Alfalfa,7.356106212460406,7.078566539679356,186.84509779649431,179.79559010785562
Season,19.0,Alfalfa Hay,Alfalfa,27.789903199485053,25.392990226178668,705.8635412669203,644.9819517449381
